"code","npias","name","city","state","ADO","service_level","district","fiscal_year","description","grant_number","airport_id","total","entitlement_total","discretionary_total","stimulus_total"
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2006,"Rehabilitate Apron","3-04-0060-019-2006","FHU",351606.00,351606.00,0.00,0.00
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2007,"Update Airport Master Plan Study","3-04-0060-020-2007","FHU",150000.00,150000.00,0.00,0.00
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2008,"Install Runway Distance-To-Go Signs - 08/26","3-04-0060-021-2008","FHU",181193.00,181193.00,0.00,0.00
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2009,"Install Weather Reporting Equipment [AWOS-III]","3-04-0060-022-2009","FHU",202753.00,202753.00,0.00,0.00
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2009,"Rehabilitate Runway - 12/30","3-04-0060-023-2009","FHU",4474546.00,0.00,0.00,4474546.00
"FHU","04-0060","Sierra Vista Municipal-Libby AAF","Fort Huachuca Sierra Vista","AZ","LAX","GA",8,2009,"Construct Taxiway [Approximately 500 feet x 75 feet, Design Only, Phase I]","3-04-0060-024-2009","FHU",120687.00,120687.00,0.00,0.00
"85V","04-0010","Ganado","Ganado","AZ","LAX","",,,"","","",,,,
"E63","04-0016","Gila Bend Municipal","Gila Bend","AZ","LAX","GA",7,2005,"Install Perimeter Fencing","3-04-0016-010-2005","E63",212773.00,150000.00,62773.00,0.00
"E63","04-0016","Gila Bend Municipal","Gila Bend","AZ","LAX","GA",7,2006,"Install Apron Lighting, Install Runway Vertical/Visual Guidance System - 04/22","3-04-0016-011-2006","E63",242471.00,242471.00,0.00,0.00
"E63","04-0016","Gila Bend Municipal","Gila Bend","AZ","LAX","GA",7,2007,"Construct Building [Shade Hangar]","3-04-0016-012-2007","E63",150000.00,150000.00,0.00,0.00
"GEU","04-0064","Glendale Municipal","Glendale","AZ","LAX","R",2,2005,"Acquire Land For Approaches [Northeast corner - Runway 19 RSA and future Taxiway B extension]","3-04-0064-017-2005","GEU",1897500.00,150000.00,1747500.00,0.00
"GEU","04-0064","Glendale Municipal","Glendale","AZ","LAX","R",2,2007,"Acquire Equipment, Install Runway Vertical/Visual Guidance System - 01/19","3-04-0064-018-2007","GEU",450000.00,450000.00,0.00,0.00
"GEU","04-0064","Glendale Municipal","Glendale","AZ","LAX","R",2,2009,"Improve Runway Safety Area - 01/19","3-04-0064-019-2009","GEU",123693.00,123693.00,0.00,0.00
"P13","04-0017","San Carlos Apache","Globe","AZ","LAX","GA",1,2005,"Update Airport Master Plan Study","3-04-0017-012-2005","P13",155345.00,155345.00,0.00,0.00
"P13","04-0017","San Carlos Apache","Globe","AZ","LAX","GA",1,2005,"Construct Heliport/Helipad [Phase II], Install Weather Reporting Equipment","3-04-0017-013-2005","P13",175008.00,150000.00,25008.00,0.00
"P13","04-0017","San Carlos Apache","Globe","AZ","LAX","GA",1,2006,"Construct Taxiway, Install Weather Reporting Equipment","3-04-0017-014-2006","P13",217248.00,217248.00,0.00,0.00
"P13","04-0017","San Carlos Apache","Globe","AZ","LAX","GA",1,2007,"Construct Taxiway","3-04-0017-015-2007","P13",621514.00,621514.00,0.00,0.00
"P13","04-0017","San Carlos Apache","Globe","AZ","LAX","GA",1,2009,"Construct Fuel Farm","3-04-0017-016-2009","P13",300000.00,300000.00,0.00,0.00
"GYR","04-0018","Phoenix Goodyear","Goodyear","AZ","LAX","R",2,2008,"Rehabilitate Apron [North ramp]","3-04-0018-013-2008","GYR",444963.00,444963.00,0.00,0.00
"GYR","04-0018","Phoenix Goodyear","Goodyear","AZ","LAX","R",2,2008,"Rehabilitate Apron [North ramp Phase II]","3-04-0018-014-2008","GYR",794533.00,794533.00,0.00,0.00
"GYR","04-0018","Phoenix Goodyear","Goodyear","AZ","LAX","R",2,2009,"Conduct Environmental Study","3-04-0018-015-2009","GYR",285000.00,266340.00,18660.00,0.00
"GCN","04-0019","Grand Canyon National Park","Grand Canyon","AZ","LAX","P",1,2005,"Acquire Aircraft Rescue & Fire Fighting Vehicle, Acquire Snow Removal Equipment, Conduct Miscellaneous Study [Terminal Area Plan], Construct Aircraft Rescue & Fire Fighting Building [Phase II], Security Enhancements [Terminal Facility & Security Access Co","3-04-0019-019-2005","GCN",4180000.00,4180000.00,0.00,0.00
"GCN","04-0019","Grand Canyon National Park","Grand Canyon","AZ","LAX","P",1,2006,"Acquire Aircraft Rescue & Fire Fighting Vehicle, Construct Apron [Holding Position], Improve Airport Drainage [Runway 03/21 Safety Area]","3-04-0019-020-2006","GCN",1765877.00,1765877.00,0.00,0.00
"GCN","04-0019","Grand Canyon National Park","Grand Canyon","AZ","LAX","P",1,2008,"Construct Aircraft Rescue & Fire Fighting Building [Phase III]","3-04-0019-021-2008","GCN",6142756.00,6142756.00,0.00,0.00
"GCN","04-0019","Grand Canyon National Park","Grand Canyon","AZ","LAX","P",1,2009,"Construct Apron [Design and construct Holding Bay Apron including storm drainage improvements], Improve Runway Safety Area [Design and construct runway safety area improvements including storm drainage improvements] - 03/21","3-04-0019-022-2009","GCN",4000000.00,4000000.00,0.00,0.00
"P14","04-0020","Holbrook Municipal","Holbrook","AZ","LAX","GA",1,2005,"Rehabilitate Runway - 11/29","3-04-0020-010-2005","P14",32316.00,32316.00,0.00,0.00
"P14","04-0020","Holbrook Municipal","Holbrook","AZ","LAX","GA",1,2009,"Update Airport Master Plan Study [Update Airport Master Plan Study and Obstruction Survey]","3-04-0020-011-2009","P14",242488.00,242488.00,0.00,0.00
"P14","04-0020","Holbrook Municipal","Holbrook","AZ","LAX","GA",1,2009,"Install Perimeter Fencing [Install perimeter fence gate and controller], Install Weather Reporting Equipment [Install AWOS-III Upgrade], Rehabilitate Runway [Rehabilitate Runway 3/21, 6900 ft. X 75 ft.] - 03/21","3-04-0020-012-2009","P14",357512.00,357512.00,0.00,0.00
"0V7","04-0067","Kayenta","Kayenta","AZ","LAX","GA",1,2005,"Construct Access Road [Design], Construct Runway [Design] - 05/23","3-04-0067-005-2005","0V7",510496.00,510496.00,0.00,0.00
"0V7","04-0067","Kayenta","Kayenta","AZ","LAX","GA",1,2008,"Strengthen Runway - 05/23","3-04-0067-006-2008","0V7",6494963.00,744963.00,5750000.00,0.00
"0V7","04-0067","Kayenta","Kayenta","AZ","LAX","GA",1,2008,"Install Weather Reporting Equipment","3-04-0067-007-2008","0V7",191311.00,191311.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2005,"Acquire Aircraft Rescue & Fire Fighting Vehicle, Construct Aircraft Rescue & Fire Fighting Building, Improve Terminal Building [Phase I (Design)]","3-04-0021-015-2005","IGM",783750.00,340000.00,443750.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2006,"Conduct Miscellaneous Study, Install Runway Lighting - 17/35","3-04-0021-017-2006","IGM",169722.00,169722.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2006,"Conduct Environmental Study","3-04-0021-018-2006","IGM",47500.00,47500.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2007,"Install Airfield Guidance Signs","3-04-0021-019-2007","IGM",143044.00,143044.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2008,"Install Airfield Guidance Signs [design], Rehabilitate Runway [design] - 03/21","3-04-0021-020-2008","IGM",70240.00,70240.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2008,"Conduct Environmental Study [Phase II of EA]","3-04-0021-021-2008","IGM",41000.00,41000.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2009,"Install Guidance Signs [Phase I (approximately 20 signs)], Rehabilitate Runway [Paint new runway markings for Runway 17-35, Phase I (approximately 6,725 linear feet by 75 linear feet)] - 17/35, Rehabilitate Runway [Slurry seal Runway 3-21 including markin","3-04-0021-022-2009","IGM",68073.00,68073.00,0.00,0.00
"IGM","04-0021","Kingman","Kingman","AZ","LAX","GA",2,2009,"Rehabilitate Apron [Reconstruct North and South Ramp]","3-04-0021-023-2009","IGM",5103575.00,0.00,0.00,5103575.00
"HII","04-0071","Lake Havasu City","Lake Havasu City","AZ","LAX","GA",2,2005,"Update Airport Master Plan Study","3-04-0071-018-2005","HII",155538.00,155538.00,0.00,0.00
"HII","04-0071","Lake Havasu City","Lake Havasu City","AZ","LAX","GA",2,2007,"Install Airfield Guidance Signs","3-04-0071-019-2007","HII",389819.00,389819.00,0.00,0.00
"HII","04-0071","Lake Havasu City","Lake Havasu City","AZ","LAX","GA",2,2008,"Install Weather Reporting Equipment [AWOS]","3-04-0071-020-2008","HII",35685.00,35685.00,0.00,0.00
"HII","04-0071","Lake Havasu City","Lake Havasu City","AZ","LAX","GA",2,2009,"Construct Taxiway, Improve Airport Erosion Control [Improve airport erosion control on a slope between Taxiway A and North Apron Area, Design Only], Improve Utilities [Improve utilities at electrical vault and fire hydrant protection, Design Only], Instal","3-04-0071-021-2009","HII",60800.00,60800.00,0.00,0.00
"MZJ","04-0055","Pinal Airpark","Marana","AZ","LAX","",,,"","","",,,,
"FFZ","04-0023","Falcon Field","Mesa","AZ","LAX","R",6,2006,"Improve Runway Safety Area - 04R/22L, Install Perimeter Fencing [Phase I]","3-04-0023-014-2006","FFZ",1139396.00,450000.00,689396.00,0.00
"FFZ","04-0023","Falcon Field","Mesa","AZ","LAX","R",6,2006,"Update Airport Master Plan Study","3-04-0023-015-2006","FFZ",170000.00,170000.00,0.00,0.00
"FFZ","04-0023","Falcon Field","Mesa","AZ","LAX","R",6,2007,"Install Perimeter Fencing [Phase II]","3-04-0023-016-2007","FFZ",388270.00,388270.00,0.00,0.00
"FFZ","04-0023","Falcon Field","Mesa","AZ","LAX","R",6,2008,"Install Perimeter Fencing","3-04-0023-017-2008","FFZ",535000.00,535000.00,0.00,0.00
"FFZ","04-0023","Falcon Field","Mesa","AZ","LAX","R",6,2009,"Expand Apron, Improve Runway Safety Area - 04R/22L","3-04-0023-018-2009","FFZ",1086750.00,68073.00,1018677.00,0.00
"OLS","04-0024","Nogales International","Nogales","AZ","LAX","GA",7,2005,"Rehabilitate Taxiway","3-04-0024-012-2005","OLS",930643.00,150000.00,780643.00,0.00
"OLS","04-0024","Nogales International","Nogales","AZ","LAX","GA",7,2006,"Install Taxiway Lighting [Signs and Generator], Widen Taxiway [Phase II]","3-04-0024-013-2006","OLS",1502500.00,150000.00,1352500.00,0.00
"OLS","04-0024","Nogales International","Nogales","AZ","LAX","GA",7,2009,"Acquire Emergency Generator, Install Guidance Signs, Rehabilitate Access Road [approximately 2,000 square yards, Phase II]","3-04-0024-014-2009","OLS",202533.00,202533.00,0.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2005,"Construct Heliport/Helipad, Construct Service Road, Construct Taxiway, Rehabilitate Apron [South Apron Drainage Improvements], Security Enhancements [Install Security Fencing]","3-04-0025-017-2005","PGA",171885.00,171885.00,0.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2005,"Update Airport Master Plan Study","3-04-0025-018-2005","PGA",171218.00,171218.00,0.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2006,"Acquire Safety Equipment and/or Fencing, Construct Heliport/Helipad, Construct Service Road, Construct Taxiway, Improve Airport Drainage","3-04-0025-019-2006","PGA",2626132.00,1645371.00,980761.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2007,"Construct Heliport/Helipad, Construct Service Road, Security Enhancements","3-04-0025-020-2007","PGA",1059950.00,1000000.00,59950.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2008,"Improve Airport Drainage [Design], Improve Airport Miscellaneous Improvements, Install Guidance Signs, Rehabilitate Runway - 15/33","3-04-0025-021-2008","PGA",458961.00,458961.00,0.00,0.00
"PGA","04-0025","Page Municipal","Page","AZ","LAX","P",1,2009,"Expand Apron [Relocate Port-a-Port hangers], Rehabilitate Runway [Design Only for reconstruction of intersection] - 07/25, Strengthen Apron [Strengthen northern half of main ramp, phase 1 (relocate Port-a-Port hangars)]","3-04-0025-022-2009","PGA",186552.00,186552.00,0.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2005,"Construct Runway [Phase I] - 01/19","3-04-0026-007-2005","P20",445435.00,445435.00,0.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2006,"Install Perimeter Fencing","3-04-0026-009-2006","P20",663867.00,663867.00,0.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2006,"Construct Runway [Relocate Runway, Phase II] - 01/19","3-04-0026-010-2006","P20",2013050.00,0.00,2013050.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2007,"Construct Runway [Phase III] - 01/19","3-04-0026-011-2007","P20",3479850.00,992842.00,2487008.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2008,"Acquire Equipment [Sweeper], Construct Runway [Phase IV] - 01/19, Install Taxiway Lighting","3-04-0026-012-2008","P20",1406250.00,382470.00,1023780.00,0.00
"P20","04-0026","Avi Suquilla","Parker","AZ","LAX","GA",7,2009,"Rehabilitate Taxiway [Taxiway B (Design)]","3-04-0026-013-2009","P20",68073.00,68073.00,0.00,0.00
"PAN","04-0027","Payson","Payson","AZ","LAX","GA",1,2005,"Construct Apron [and Relocate Access Road]","3-04-0027-013-2005","PAN",1602630.00,1602630.00,0.00,0.00
"PAN","04-0027","Payson","Payson","AZ","LAX","GA",1,2006,"Construct Apron [Design]","3-04-0027-014-2006","PAN",27369.00,27369.00,0.00,0.00
"PAN","04-0027","Payson","Payson","AZ","LAX","GA",1,2008,"Conduct Environmental Study [for 12 Acres Land Acquisition]","3-04-0027-015-2008","PAN",309700.00,309700.00,0.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2006,"Acquire Aircraft Rescue & Fire Fighting Safety Equipment, Construct Runway [Relocate Runway] - 17/35","3-04-0068-005-2006","1G4",6402822.00,2000000.00,4402822.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2006,"Construct Runway - 17/35","3-04-0068-006-2006","1G4",1808310.00,0.00,1808310.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2007,"Construct Runway - 17/35, Improve Airport Drainage [Includes site grading]","3-04-0068-007-2007","1G4",9937592.00,1000000.00,8937592.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2008,"Construct Runway - 17/35, Construct Runway Safety Area - 17/35","3-04-0068-008-2008","1G4",5930656.00,0.00,5930656.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2008,"Construct Parking Lot, Remove Obstructions","3-04-0068-009-2008","1G4",741606.00,741606.00,0.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2008,"Install Weather Reporting Equipment","3-04-0068-010-2008","1G4",196993.00,196993.00,0.00,0.00
"1G4","04-0068","Grand Canyon West","Peach Springs","AZ","LAX","P",2,2009,"Construct Runway [Pave shifted RWY 17/35 (5,000\' x 1,000\')] - 17/35, Construct Taxiway [Convert Temporary Runway to Parallel Taxiway]","3-04-0068-011-2009","1G4",3325000.00,355321.00,2969679.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2005,"Acquire Land for Development [and Relocation (7.5 Acres)]","3-04-0028-020-2005","DVT",442500.00,442500.00,0.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2006,"Acquire Land for Development [(Reimbursement) for a portion of 80 acres acquired in 1999]","3-04-0028-021-2006","DVT",3000000.00,150000.00,2850000.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2007,"Acquire Land for Development [(Reimbursement)]","3-04-0028-022-2007","DVT",900000.00,150000.00,750000.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2007,"Rehabilitate Apron [Phase I]","3-04-0028-023-2007","DVT",3500799.00,0.00,3500799.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2008,"Improve Runway Safety Area - 07R/25L","3-04-0028-024-2008","DVT",1093316.00,1093316.00,0.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2009,"Rehabilitate Apron [South and North West areas (Phase II)]","3-04-0028-025-2009","DVT",5094521.00,68073.00,5026448.00,0.00
"DVT","04-0028","Phoenix Deer Valley","Phoenix","AZ","LAX","R",3,2009,"Install Airfield Guidance Signs [including relocating holdlines], Install Apron Lighting [Northwest Apron], Install Runways Incursion Caution Bars, Rehabilitate Apron [South and Northwest Apron, Phase III], Rehabilitate Runway Lighting [Rehabilitate Elect","3-04-0028-026-2009","DVT",3136441.00,3136441.00,0.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2005,"Rehabilitate Taxiway [Phase III]","3-04-0029-060-2005","PHX",10886050.00,6584126.00,4301924.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2005,"Noise Mitigation Measures for Residences within 65 - 69 DNL","3-04-0029-061-2005","PHX",12309187.00,0.00,12309187.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2006,"Rehabilitate Taxiway [Phase IV]","3-04-0029-062-2006","PHX",6884262.00,6884262.00,0.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2007,"Rehabilitate Taxiway [D and E reconstruction]","3-04-0029-063-2007","PHX",9527731.00,9527731.00,0.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2008,"Rehabilitate Taxiway [R between C and D Construction]","3-04-0029-064-2008","PHX",8259059.00,5259059.00,3000000.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2009,"Rehabilitate Apron [Rehabilitation of the Apron between Taxiway 2 and Taxiway 3]","3-04-0029-065-2009","PHX",748419.00,748419.00,0.00,0.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2009,"Rehabilitate Taxiway [Rehabilitate Taxiway C West Portion. Replace with PCC, including lights and signage]","3-04-0029-066-2009","PHX",11719336.00,0.00,0.00,11719336.00
"PHX","04-0029","Phoenix Sky Harbor International","Phoenix","AZ","LAX","P",4,2009,"Construct Taxiway, Rehabilitate Apron","3-04-0029-067-2009","PHX",5614666.00,5614666.00,0.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2005,"Improve Runway Safety Area - 12R/30L","3-04-0078-014-2005","IWA",4181713.00,150000.00,4031713.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2005,"Construct Taxiway [Parallel Taxiway B, Phase II], Improve Building [Install hangar fire suppression system (MAP)]","3-04-0078-015-2005","IWA",5137500.00,0.00,5137500.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2006,"Rehabilitate Parking Lot [Sossaman Road Parking Lots-MAP]","3-04-0078-016-2006","IWA",2276417.00,0.00,2276417.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2006,"Update Airport Master Plan Study","3-04-0078-017-2006","IWA",515000.00,515000.00,0.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2006,"Construct Taxiway [Parallel Taxiway B, Phase III]","3-04-0078-018-2006","IWA",2400000.00,206016.00,2193984.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2007,"Construct Taxiway [Parallel Taxiway B, Phase IV], Improve Service Road","3-04-0078-019-2007","IWA",4367366.00,569432.00,3797934.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2008,"Construct Taxiway [Parallel Taxiway B, Phase V]","3-04-0078-020-2008","IWA",8561544.00,111240.00,8450304.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2008,"Rehabilitate Parking Lot [Phase II, MAP]","3-04-0078-021-2008","IWA",1108475.00,0.00,1108475.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2008,"Improve Airport Drainage [Taxilane L drainage]","3-04-0078-022-2008","IWA",2470000.00,250198.00,2219802.00,0.00
"IWA","04-0078","Phoenix-Mesa Gateway","Phoenix","AZ","LAX","P",6,2009,"Construct Taxiway [Construct Taxiway B, Final Phase, between Taxiway L and K, including reconstruction of Taxiway A and N.]","3-04-0078-023-2009","IWA",6000000.00,1000000.00,5000000.00,0.00
"P10","04-0081","Polacca","Polacca","AZ","LAX","GA",2,2005,"Conduct Airport Master Plan Study","3-04-0081-001-2005","P10",142500.00,142500.00,0.00,0.00
"P10","04-0081","Polacca","Polacca","AZ","LAX","GA",2,2009,"Conduct Environmental Study","3-04-0081-002-2009","P10",251307.00,251307.00,0.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2005,"Improve Runway Safety Area - 12/30, Rehabilitate Taxiway Lighting","3-04-0030-023-2005","PRC",872114.00,207014.00,665100.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2006,"Update Airport Master Plan Study","3-04-0030-025-2006","PRC",185000.00,185000.00,0.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2008,"Security Enhancements","3-04-0030-026-2008","PRC",25000.00,25000.00,0.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2008,"Conduct Environmental Study [for 40 Acre Land Acquisition]","3-04-0030-027-2008","PRC",180000.00,180000.00,0.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2009,"Construct Aircraft Rescue & Fire Fighting Building [13,000 SF ARFF at Midfield]","3-04-0030-028-2009","PRC",100000.00,100000.00,0.00,0.00
"PRC","04-0030","Ernest A. Love Field","Prescott","AZ","LAX","CS",1,2009,"Update Airport Master Plan Study","3-04-0030-029-2009","PRC",23750.00,23750.00,0.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2005,"Construct Access Road [Phase I, Design], Extend Taxiway [Phase I, Design], Install Perimeter Fencing [Phase I, Design]","3-04-0031-014-2005","SAD",226100.00,226100.00,0.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2006,"Conduct Miscellaneous Study","3-04-0031-015-2006","SAD",125000.00,125000.00,0.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2007,"Construct Taxiway [E and B1], Expand Access Road [Aviation Way], Install Perimeter Fencing","3-04-0031-016-2007","SAD",654574.00,634868.00,19706.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2008,"Rehabilitate Runway - 12/30","3-04-0031-017-2008","SAD",111240.00,111240.00,0.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2009,"Rehabilitate Runway [Phase II Design] - 12/30","3-04-0031-018-2009","SAD",68073.00,68073.00,0.00,0.00
"SAD","04-0031","Safford Regional","Safford","AZ","LAX","GA",1,2009,"Rehabilitate Runway [Rehabilitate Runway 12/30, Design Only, Phase 3] - 12/30","3-04-0031-019-2009","SAD",120687.00,120687.00,0.00,0.00
"E77","04-0080","San Manuel","San Manuel","AZ","LAX","GA",1,2007,"Rehabilitate Taxiway [Design]","3-04-0080-001-2007","E77",150000.00,150000.00,0.00,0.00
"E77","04-0080","San Manuel","San Manuel","AZ","LAX","GA",1,2009,"Install Weather Reporting Equipment [Install Automated Weather Observation System (AWOS) III, approximately 500 feet southwest of Runway 11/29]","3-04-0080-002-2009","E77",176860.00,176860.00,0.00,0.00
"SDL","04-0032","Scottsdale","Scottsdale","AZ","LAX","R",5,2005,"Environmental Mitigation [Install Blast Fence], Install Noise Monitoring System","3-04-0032-021-2005","SDL",312059.00,240000.00,72059.00,0.00
"SDL","04-0032","Scottsdale","Scottsdale","AZ","LAX","R",5,2006,"Construct Taxiway, Construct Taxiway, Install Airfield Guidance Signs, Rehabilitate Access Road, Rehabilitate Taxiway [Greenway Connectors]","3-04-0032-022-2006","SDL",394250.00,247000.00,147250.00,0.00
"SDL","04-0032","Scottsdale","Scottsdale","AZ","LAX","R",5,2007,"Construct Taxiway [Construct Taxiway A-4, Greenway by-Pass Taxiway (A-8); Connector Taxiway between A-12/A-13; Delta Ramp Taxilane.], Install Airfield Guidance Signs [Rehabilitate airfield signs, including new runway guard lights at most frequently used t","3-04-0032-023-2007","SDL",3794217.00,1401827.00,2392390.00,0.00
"SDL","04-0032","Scottsdale","Scottsdale","AZ","LAX","R",5,2009,"Rehabilitate Apron [Phases I, II, and III (Design Only)]","3-04-0032-024-2009","SDL",123693.00,123693.00,0.00,0.00
"SEZ","04-0033","Sedona","Sedona","AZ","LAX","GA",1,2005,"Improve Utilities [Fire Protection Waterline], Rehabilitate Apron [and Expand]","3-04-0033-015-2005","SEZ",644812.00,644812.00,0.00,0.00
"SEZ","04-0033","Sedona","Sedona","AZ","LAX","GA",1,2006,"Rehabilitate Taxiway","3-04-0033-016-2006","SEZ",1150000.00,150000.00,1000000.00,0.00
"SEZ","04-0033","Sedona","Sedona","AZ","LAX","GA",1,2007,"Expand Apron [Southwest Ramp, Design]","3-04-0033-017-2007","SEZ",110000.00,110000.00,0.00,0.00
"SEZ","04-0033","Sedona","Sedona","AZ","LAX","GA",1,2008,"Conduct Environmental Study","3-04-0033-019-2008","SEZ",87320.00,87320.00,0.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2005,"Acquire Equipment [Sweeper], Acquire Snow Removal Equipment, Construct Heliport/Helipad, Rehabilitate Taxiway","3-04-0035-014-2005","SOW",871022.00,749639.00,121383.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2006,"Conduct Environmental Study","3-04-0035-015-2006","SOW",374063.00,374063.00,0.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2007,"Acquire Aircraft Rescue & Fire Fighting Vehicle","3-04-0035-016-2007","SOW",193325.00,175000.00,18325.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2008,"Acquire Easement For Approaches","3-04-0035-017-2008","SOW",111240.00,111240.00,0.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2008,"Safety Management System (SMS) Program","3-04-0035-018-2008","SOW",100000.00,0.00,100000.00,0.00
"SOW","04-0035","Show Low Regional","Show Low","AZ","LAX","CS",1,2009,"Improve Runway Safety Area [Improve Runway 24, approximately 500 Linear Feet by 250 Linear Feet] - 06/24","3-04-0035-019-2009","SOW",2008540.00,120687.00,1887853.00,0.00
