Indent,Budget Function,Subsidyscope Title,Title as Appears in Budget,Source,Report Year,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,2008 Total,2009 Total,2010 Total,2011 Total,2012 Total,2013 Total,2014 Total,2015 Total,2016 Total,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2005,,,,4400.00,4600.00,4800.00,4900.00,5100.00,,,,,,,,,,,,,4400.00,4600.00,4800.00,4900.00,5100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2006,,,,,3300.00,4100.00,5100.00,5600.00,5800.00,,,,,,,,,,,,,3300.00,4100.00,5100.00,5600.00,5800.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2007,,,,,,3600.00,4600.00,5100.00,5200.00,5200.00,,,,,,,,,,,,,3600.00,4600.00,5100.00,5200.00,5200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2008,,,,,,,4300.00,4300.00,4300.00,4300.00,4300.00,,,,,,,,,,,,,4300.00,4300.00,4300.00,4300.00,4300.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2009,,,,,,,,3500.00,3500.00,3500.00,3400.00,3400.00,,,,,,,,,,,,,3500.00,3500.00,3500.00,3400.00,3400.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2010,,,,,,,,,3300.00,3300.00,3200.00,3200.00,3200.00,,,,,,,,,,,,,3300.00,3300.00,3200.00,3200.00,3200.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2011,,,,,,,,,,3300.00,3200.00,3200.00,3200.00,3100.00,,,,,,,,,,,,,3300.00,3200.00,3200.00,3200.00,3100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),"Reduced rates on first $10,000,000 of corporate taxable income",JCT,2012,,,,,,,,,,,3200.00,3200.00,3200.00,3100.00,3100.00,,,,,,,,,,,,,3200.00,3200.00,3200.00,3100.00,3100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2001,6300.00,6275.00,6460.00,6490.00,6710.00,6815.00,,,,,,,,,,,,6300.00,6275.00,6460.00,6490.00,6710.00,6815.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2002,6480.00,6700.00,7140.00,7460.00,7540.00,7760.00,7960.00,,,,,,,,,,,6480.00,6700.00,7140.00,7460.00,7540.00,7760.00,7960.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2003,,4940.00,5590.00,6210.00,6580.00,7120.00,7450.00,7880.00,,,,,,,,,,,4940.00,5590.00,6210.00,6580.00,7120.00,7450.00,7880.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2004,,,4870.00,5380.00,5700.00,5880.00,6100.00,6350.00,6640.00,,,,,,,,,,,4870.00,5380.00,5700.00,5880.00,6100.00,6350.00,6640.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2005,,,,3030.00,3090.00,3910.00,4650.00,4800.00,4890.00,5040.00,,,,,,,,,,,3030.00,3090.00,3910.00,4650.00,4800.00,4890.00,5040.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2006,,,,,2450.00,3190.00,3730.00,3820.00,3920.00,4020.00,4140.00,,,,,,,,,,,2450.00,3190.00,3730.00,3820.00,3920.00,4020.00,4140.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2007,,,,,,3160.00,3450.00,3590.00,3940.00,4180.00,4300.00,4390.00,,,,,,,,,,,3160.00,3450.00,3590.00,3940.00,4180.00,4300.00,4390.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2008,,,,,,,4050.00,4270.00,4240.00,4320.00,4420.00,4530.00,4690.00,,,,,,,,,,,4050.00,4270.00,4240.00,4320.00,4420.00,4530.00,4690.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2009,,,,,,,,5400.00,5220.00,5290.00,5510.00,5660.00,5840.00,6090.00,,,,,,,,,,,5400.00,5220.00,5290.00,5510.00,5660.00,5840.00,6090.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2010,,,,,,,,,2460.00,2460.00,2880.00,3090.00,3120.00,3300.00,3310.00,,,,,,,,,,,2460.00,2460.00,2880.00,3090.00,3120.00,3300.00,3310.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2011,,,,,,,,,,2720.00,2860.00,3120.00,3070.00,3150.00,3420.00,3600.00,,,,,,,,,,,2720.00,2860.00,3120.00,3070.00,3150.00,3420.00,3600.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
*,Commerce and housing,Graduated corporation income tax rate (normal tax method),Graduated corporation income tax rate (normal tax method),Treasury,2012,,,,,,,,,,,3000.00,3280.00,3220.00,3300.00,3590.00,3770.00,3960.00,,,,,,,,,,,3000.00,3280.00,3220.00,3300.00,3590.00,3770.00,3960.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
*,Commerce and housing,Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,JCT,2011,,,,,,,,,,12100.00,22800.00,7500.00,500.00,300.00,,,,,,,,,,,,,11200.00,21100.00,6900.00,500.00,300.00,,,,,,,,,,,,,900.00,1700.00,600.00,<50,<50,,,,
*,Commerce and housing,Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,Inclusion of income arising from business indebtedness discharged by the reacquisition of a debt instrument,JCT,2012,,,,,,,,,,,22800.00,7400.00,500.00,300.00,0,,,,,,,,,,,,,21100.00,6900.00,500.00,300.00,<50,,,,,,,,,,,,,1700.00,500.00,<50,<50,<50,,,
*,Commerce and housing,Income recognition rule for gain or loss from section 1256 contracts,60-40 rule for gain or loss from section 1256 contracts,JCT,2010,,,,,,,,,2300.00,2200.00,2500.00,1900.00,2000.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,2200.00,2100.00,2400.00,1800.00,1900.00,,,,,
*,Commerce and housing,Income recognition rule for gain or loss from section 1256 contracts,Income recognition rule for gain or loss from section 1256 contracts,JCT,2011,,,,,,,,,,800.00,800.00,800.00,800.00,900.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,800.00,800.00,800.00,800.00,900.00,,,,
*,Commerce and housing,Income recognition rule for gain or loss from section 1256 contracts,Income recognition rule for gain or loss from section 1256 contracts,JCT,2012,,,,,,,,,,,800.00,800.00,800.00,800.00,900.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,800.00,800.00,800.00,800.00,900.00,,,
*,Commerce and housing,Increased standard deduction for real property taxes,Increased standard deduction for real property taxes,JCT,2010,,,,,,,,,900.00,2500.00,400.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,900.00,2500.00,400.00,0.00,0.00,,,,,
*,Commerce and housing,Increased standard deduction for real property taxes,Increased standard deduction for real property taxes,JCT,2011,,,,,,,,,,1900.00,500.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,1900.00,500.00,0.00,0.00,0.00,,,,
*,Commerce and housing,Increased standard deduction for real property taxes,Increased standard deduction for real property taxes,JCT,2012,,,,,,,,,,,500.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,500.00,0.00,0.00,0.00,0.00,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2001,3400.00,3400.00,3500.00,3500.00,,,,,,,,,,,,,,3400.00,3400.00,3500.00,3500.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2002,2800.00,2900.00,2900.00,3000.00,3100.00,,,,,,,,,,,,,2800.00,2900.00,2900.00,3000.00,3100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2003,,2900.00,2900.00,3000.00,3000.00,3100.00,,,,,,,,,,,,,2900.00,2900.00,3000.00,3000.00,3100.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2004,,,2900.00,3000.00,3000.00,3100.00,3200.00,,,,,,,,,,,,,2900.00,3000.00,3000.00,3100.00,3200.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2005,,,,1400.00,1400.00,1400.00,1500.00,1500.00,,,,,,,,,,,,,1400.00,1400.00,1400.00,1500.00,1500.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2006,,,,,1500.00,1500.00,1600.00,1600.00,1600.00,,,,,,,,,,,,,1500.00,1500.00,1600.00,1600.00,1600.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2007,,,,,,1500.00,1600.00,1600.00,1600.00,1700.00,,,,,,,,,,,,,1500.00,1600.00,1600.00,1600.00,1700.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2008,,,,,,,3400.00,3400.00,3500.00,3600.00,3600.00,,,,,,,,,,,,,3400.00,3400.00,3500.00,3600.00,3600.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Deduction of unpaid property loss reserves for property and casualty insurance companies,JCT,2009,,,,,,,,3400.00,3500.00,3600.00,3600.00,3700.00,,,,,,,,,,,,,3400.00,3500.00,3600.00,3600.00,3700.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,JCT,2010,,,,,,,,,600.00,600.00,700.00,700.00,700.00,,,,,,,,,,,,,600.00,600.00,700.00,700.00,700.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,JCT,2011,,,,,,,,,,600.00,700.00,700.00,700.00,800.00,,,,,,,,,,,,,600.00,700.00,700.00,700.00,800.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Commerce and housing,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,Interest rate and discounting period assumptions for reserves of property and casualty insurance companies,JCT,2012,,,,,,,,,,,700.00,700.00,700.00,800.00,700.00,,,,,,,,,,,,,700.00,700.00,700.00,800.00,700.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Commerce and housing,Inventory methods and valuation: Last in first out,Last in first out,JCT,2010,,,,,,,,,4000.00,4200.00,4400.00,4700.00,4900.00,,,,,,,,,,,,,3500.00,3700.00,3900.00,4100.00,4300.00,,,,,,,,,,,,,500.00,500.00,500.00,600.00,600.00,,,,,
*,Commerce and housing,Inventory methods and valuation: Last in first out,Last in first out,JCT,2011,,,,,,,,,,3800.00,4100.00,4300.00,4600.00,4800.00,,,,,,,,,,,,,3400.00,3600.00,3800.00,4000.00,4200.00,,,,,,,,,,,,,400.00,500.00,500.00,600.00,600.00,,,,
*,Commerce and housing,Inventory methods and valuation: Last in first out,Last in first out,JCT,2012,,,,,,,,,,,4100.00,4300.00,4600.00,4800.00,5100.00,,,,,,,,,,,,,3600.00,3800.00,4000.00,4200.00,4400.00,,,,,,,,,,,,,500.00,500.00,600.00,600.00,700.00,,,
*,Commerce and housing,Inventory methods and valuation: Lower of cost or market,Lower of cost or market,JCT,2010,,,,,,,,,2800.00,400.00,500.00,500.00,600.00,,,,,,,,,,,,,2200.00,300.00,400.00,400.00,500.00,,,,,,,,,,,,,600.00,100.00,100.00,100.00,100.00,,,,,
*,Commerce and housing,Inventory methods and valuation: Lower of cost or market,Lower of cost or market,JCT,2011,,,,,,,,,,500.00,500.00,500.00,500.00,600.00,,,,,,,,,,,,,400.00,400.00,400.00,400.00,500.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,
*,Commerce and housing,Inventory methods and valuation: Lower of cost or market,Lower of cost or market,JCT,2012,,,,,,,,,,,500.00,500.00,500.00,600.00,600.00,,,,,,,,,,,,,400.00,400.00,400.00,500.00,500.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,
*,Commerce and housing,Inventory methods and valuation: Specific identification for homogeneous products,Specific identification for homogeneous products,JCT,2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,
*,Commerce and housing,Inventory methods and valuation: Specific identification for homogeneous products,Specific identification for homogeneous products,JCT,2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,
*,Commerce and housing,Inventory methods and valuation: Specific identification for homogeneous products,Specific identification for homogeneous products,JCT,2012,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,
*,Commerce and housing,Investment recovery period for 15-year property: Leasehold improvement property,Leasehold improvement property,JCT,2010,,,,,,,,,900.00,2200.00,2200.00,1300.00,1200.00,,,,,,,,,,,,,400.00,1000.00,1000.00,600.00,500.00,,,,,,,,,,,,,500.00,1200.00,1200.00,700.00,700.00,,,,,
*,Commerce and housing,Investment recovery period for 15-year property: Leasehold improvement property,Leasehold improvement property,JCT,2011,,,,,,,,,,6200.00,3200.00,600.00,500.00,400.00,,,,,,,,,,,,,2800.00,1400.00,300.00,200.00,200.00,,,,,,,,,,,,,3400.00,1800.00,300.00,300.00,200.00,,,,15-year recovery period and bonus depreciation (when generally applicable) in the case of leasehold improvements and retail motor fuel outlets.
*,Commerce and housing,Investment recovery period for 15-year property: Restaurant property,Restaurant property,JCT,2010,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,
*,Commerce and housing,Investment recovery period for 15-year property: Restaurant property,Restaurant property,JCT,2011,,,,,,,,,,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,,15-year recovery period and bonus depreciation (when generally applicable) in the case of leasehold improvements and retail motor fuel outlets.
*,Commerce and housing,Investment recovery period for 15-year property: Retail improvements,Retail improvements,JCT,2010,,,,,,,,,0,0,0,200.00,200.00,,,,,,,,,,,,,<50,<50,<50,100.00,100.00,,,,,,,,,,,,,<50,<50,<50,100.00,100.00,,,,,
*,Commerce and housing,Investment recovery period for 15-year property: Retail improvements,Retail improvements,JCT,2011,,,,,,,,,,0,0,200.00,100.00,100.00,,,,,,,,,,,,,<50,<50,100.00,<50,<50,,,,,,,,,,,,,<50,<50,100.00,100.00,100.00,,,,15-year recovery period and bonus depreciation (when generally applicable) in the case of leasehold improvements and retail motor fuel outlets.
*,Commerce and housing,Net alternative minimum tax attributable to net operating loss limitation,Net alternative minimum tax attributable to depreciation adjustment and net operating loss limitation,JCT,2010,,,,,,,,,-800.00,-800.00,-700.00,-700.00,-700.00,,,,,,,,,,,,,-700.00,-700.00,-600.00,-600.00,-600.00,,,,,,,,,,,,,-100.00,-100.00,-100.00,-100.00,-100.00,,,,,
*,Commerce and housing,Net alternative minimum tax attributable to net operating loss limitation,Net alternative minimum tax attributable to net operating loss limitation,JCT,2011,,,,,,,,,,-600.00,-600.00,-600.00,-600.00,-600.00,,,,,,,,,,,,,-500.00,-500.00,-500.00,-500.00,-500.00,,,,,,,,,,,,,-100.00,-100.00,-100.00,-100.00,-100.00,,,,
*,Commerce and housing,Net alternative minimum tax attributable to net operating loss limitation,Net alternative minimum tax attributable to net operating loss limitation,JCT,2012,,,,,,,,,,,-600.00,-600.00,-600.00,-600.00,-600.00,,,,,,,,,,,,,-500.00,-500.00,-500.00,-500.00,-500.00,,,,,,,,,,,,,-100.00,-100.00,-100.00,-100.00,-100.00,,,
*,Commerce and housing,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,JCT,2010,,,,,,,,,0.00,2700.00,400.00,200.00,100.00,,,,,,,,,,,,,0.00,2600.00,400.00,200.00,100.00,,,,,,,,,,,,,0.00,100.00,<50,<50,<50,,,,,
*,Commerce and housing,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,JCT,2011,,,,,,,,,,2700.00,400.00,200.00,100.00,-100.00,,,,,,,,,,,,,2600.00,400.00,200.00,100.00,-100.00,,,,,,,,,,,,,100.00,<50,<50,<50,<50,,,,
*,Commerce and housing,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,Ordinary gain or loss treatment for sale or exchange of Fannie Mae and Freddie Mac preferred stock by certain financial institutions,JCT,2012,,,,,,,,,,,400.00,200.00,100.00,-100.00,-100.00,,,,,,,,,,,,,400.00,200.00,100.00,-100.00,-100.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of losses from sales of small business corporation stock,JCT,2004,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2001,35.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,35.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2002,35.00,40.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,35.00,40.00,40.00,40.00,40.00,40.00,40.00,,,,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2003,,40.00,40.00,40.00,50.00,50.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,40.00,40.00,40.00,50.00,50.00,50.00,50.00,,,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2004,,,40.00,40.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,40.00,40.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2005,,,,40.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,40.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2006,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2007,,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2008,,,,,,,50.00,50.00,50.00,50.00,60.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,50.00,50.00,50.00,60.00,60.00,60.00,,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2009,,,,,,,,50.00,50.00,50.00,60.00,60.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,50.00,50.00,60.00,60.00,60.00,60.00,,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2010,,,,,,,,,50.00,50.00,60.00,60.00,60.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,50.00,60.00,60.00,60.00,60.00,60.00,,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2011,,,,,,,,,,50.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,50.00,60.00,60.00,60.00,60.00,60.00,60.00,,
*,Commerce and housing,Ordinary income treatment of loss from small business corporation stock sale,Ordinary income treatment of loss from small business corporation stock sale,Treasury,2012,,,,,,,,,,,60.00,60.00,60.00,60.00,60.00,60.00,60.00,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,60.00,60.00,60.00,60.00,60.00,60.00,60.00,
*,Commerce and housing,Partial expensing of Gulf Opportunity Zone clean-up costs,Partial expensing of Gulf Opportunity Zone clean-up costs,JCT,2008,,,,,,,0,0,0,0,0,,,,,,,,,,,,,<50,<50,<50,>-50,>-50,,,,,,,,,,,,,<50,<50,<50,>-50,>-50,,,,,,,
*,Commerce and housing,Proration for property and casualty insurance companies,15-percent proration for property and casualty insurance companies,JCT,2010,,,,,,,,,300.00,300.00,300.00,400.00,400.00,,,,,,,,,,,,,300.00,300.00,300.00,400.00,400.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,
*,Commerce and housing,Proration for property and casualty insurance companies,Proration for property and casualty insurance companies,JCT,2011,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,
*,Commerce and housing,Proration for property and casualty insurance companies,Proration for property and casualty insurance companies,JCT,2012,,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,300.00,300.00,400.00,400.00,400.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,
*,Commerce and housing,R&E credits in lieu of bonus depreciation (Code section 168(k)(4)),Refundable research tax credits,JCT,2010,,,,,,,,,0.00,500.00,0.00,0.00,0.00,,,,,,,,,,,,,<50,500.00,0.00,0.00,0.00,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,Transfer is limited to research credits that would otherwise expire.
