"PSC CODE","PRODUCT AND SERVICE CODE NAME","START DATE","END DATE","PRODUCT AND SERVICE CODE FULL NAME","PRODUCT AND SERVICE CODE EXCLUDES","PRODUCT AND SERVICE CODE NOTES","PRODUCT AND SERVICE CODE INICLUDES"
"5895","MISC COMMUNICATION EQ",10/15/1978,,"MISCELLANEOUS COMMUNICATION EQUIPMENT","ELECTRONIC COUNTERMEASURES EQUIPMENT.","THIS CLASS INCLUDES MISCELLANEOUS COMMUNICATION EQUIPMENT THAT IS NOT CLASSIFIED IN MORE SPECIFIC CLASSES. (SEE THE NOTE FOR FSG 58.)","MODEMS."
"59","ELECTRICAL/ELECTRONIC EQPT COMPNTS",10/1/1979,,,,"MOUNTING HARDWARE, INCLUDED IN CLASSES OF THIS GROUP, INCLUDES SUCH  SPECIALLY DESIGNED ITEMS AS BRACKETS, HOLDERS, RETAINERS, ETC.  EXCLUDED FROM CLASSES  IN THIS GROUP ARE SUCH HARDWARE ITEMS AS SCREWS (FSC 5305), BOLTS (FSC 5306), STUDS (FSC 5307), WASHERS (FSC 5310), RIVETS (FSC 5320), AND OTHER COMMON ITEMS  INDEXED TO SPECIFIC CLASSES, OTHER THAN IN GROUP 59.  THE FSC INDEXES AND STRUCTURE  WILL GOVERN THE CLASSIFICATION OF ITEMS USED ON OR WITH MOUNTING HARDWARE CITED ABOVE.",
"5905","RESISTORS",10/15/1978,,"RESISTORS","RESISTANCE WIRE.",,"VARISTORS; RESISTIVE BALLAST TUBES; RHEOSTATS; RESISTOR  NETWORKS; RESISTOR MOUNTING HARDWARE; THERMISTORS."
"5910","CAPACITORS",10/15/1978,,"CAPACITORS","SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE.",,"INTERFERENCE FILTER CAPACITORS; CAPACITOR MOUNTING HARDWARE."
"5915","FILTERS AND NETWORKS",10/15/1978,,"FILTERS AND NETWORKS",,"THIS CLASS INCLUDES THOSE FILTERS AND NETWORKS WHICH CONSIST OF A  COMBINATION OF RESISTORS, CAPACITORS, OR COILS, BUT NOT A COMBINATION OF RESISTORS  ONLY (CLASSIFIED IN 5905). CAPACITORS ONLY (CLASSIFIED IN 5910), OR COILS ONLY  (CLASSIFIED IN 5950).",
"5920","FUSES ARRESTERS ABORBERS & PROTECTO",10/15/1978,,"FUSES, ARRESTERS, ABSORBERS, AND PROTECTORS","CIRCUIT BREAKERS.",,"FUSEHOLDERS; FUSE BOXES; FUSE POSTS; FUSE LINKS; FUSE BLOCKS;  CURRENT LIMITERS.  CORONA BALLS, ELECTROSTATIC DISCHARGERS."
"5925","CIRCUIT BREAKERS",10/15/1978,,"CIRCUIT BREAKERS","RELAYS.",,"CIRCUIT BREAKERS AND CUTOUTS."
"5930","SWITCHES",10/15/1978,,"SWITCHES","SWITCHGEAR.",,"ROTARY, KNIFE, TOGGLE.  PUSH BUTTON, MERCURY, THERMOSTATIC,  AND DIFFERENTIAL PRESSURE SWITCHES."
"5935","CONNECTORS, ELECTRICAL",10/15/1978,,"CONNECTORS, ELECTRICAL","INTERCONNECTORS, FIBER OPTIC.",,"PLUGS; JACKS; RECEPTACLES; ELECTRONIC COMPONENT SOCKETS AND ASSOCIATED ACCESSORIES."
"5940","LUGS TERMINALS & TERMINAL STRIPS",10/15/1978,,"LUGS, TERMINALS, AND TERMINAL STRIPS","CAPS, ELECTRICAL; CLIPS ELECTRICAL; AND CONTACTS, ELECTRICAL.",,"BINDING POSTS; BATTERY CLIPS; STUD TERMINALS; TEST CLIPS."
"5945","RELAYS AND SOLENOIDS",10/15/1978,,"RELAYS AND SOLENOIDS","CONTACTORS.",,"ELECTROMAGNETIC ACTUATORS."
"5950","COILS AND TRANSFORMERS",10/15/1978,,"COILS AND TRANSFORMERS",,,"COILS, EXCEPT IGNITION AND MAGNETO; COIL ASSEMBLIES; MAGNETIC AMPLIFIERS; REACTORS; TRANSFORMERS."
"5955","OSCILLATORS PIEZOELECTRIC CRYSTALS",10/15/1978,,"OSCILLATORS AND PIEZOELECTRIC CRYSTALS","CRYSTAL CONTROLLED OSCILLATORS AND NONCRYSTAL CONTROLLED OSCILLATORS  WHICH MEET THE DEFINITION OF THE TERM. ""ELECTRONIC MODULE"" AS DEFINED FOR FSC 5963 AND MICROCIRCUITS.",,"CRYSTAL UNITS, PROCESSED UNMOUNTED  CRYSTALS, CRYSTAL CONTROLLED OSCILLATORS AND NONCRYSTAL CONTROLLED OSCILLATORS."
"5960","ELECTRON TUBES & ASSOC HARDWARE",10/15/1978,,"ELECTRON TUBES AND ASSOCIATED HARDWARE","TRANSISTORS; TUBE SOCKETS; X-RAY TUBES; SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE.",,"RECTIFYING TUBES; PHOTOELECTRIC TUBES; ELECTRON VIBRATOR TUBES."
"5961","SEMI CONDUCTOR DEVICES",10/15/1978,,"SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE","MICROCIRCUITS; OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE.",,"SEMICONDUCTOR ASSEMBLIES; SEMICONDUCTOR DIODES; SEMICONDUCTOR RECTIFIERS, SEMICONDUCTOR THYRISTORS; TRANSISTORS; UNITIZED SEMICONDUCTORS; ASSOCIATED HARDWARE EXCEPT SOCKETS."
"5962","MICROCIRCUITS, ELECTRONIC",10/15/1978,,"MICROCIRCUITS, ELECTRONIC","SINGLE CIRCUIT ELEMENTS SUCH AS CAPACITORS; RESISTORS; DIODES AND TRANSISTORS; PRINTED CIRCUIT BOARDS AND- CIRCUIT CARD ASSEMBLIES; AND FILTERS AND NETWORKS.","(1) A MICROCIRCUIT IS DEFINED AS FOLLOWS:  A SMALL CIRCUIT HAVING  A HIGH EQUIVALENT CIRCUIT ELEMENT DENSITY, WHICH IS CONSIDERED AS A SINGLE PART  COMPOSED OF INTERCONNECTED ELEMENTS PLACED AND/OR FORMED ON OR WITHIN A SINGLE  SUBSTRATE TO PERFORM AN ELECTRONIC CIRCUIT FUNCTION.  THE ELEMENTS MAY BE  ON OR WITHIN A SEMICONDUCTOR MATERIAL SUBSTRATE; MAY CONSIST OF CONDUCTIVE FILM(S) FORMED ON AN INSULATING SUBSTRATE; OR MAY BE A COMBINATION OF ONE OR BOTH OF THESE TYPES WITH DISCRETE ELEMENTS. (2) THE TERM ""MICROCIRCUIT"", AS APPLIED TO CIRCUIT DEVICES INCLUDED IN THIS CLASS, IS DELIMITED TO EXCLUDE ITEMS CONSISTING  SOLELY OF INTERCONNECTED ""MICROCOMPONENTS"" (DISCRETE MINIATURIZED COMPONENTS).   ALSO EXCLUDED ARE ITEMS FABRICATED IN THE FORM OF MONOLITHIC THICK-FILM OR THIN-FILM STRUCTURES THAT IN THEMSELVES ARE NOT FUNCTIONAL ELECTRONIC CIRCUITS   (E.G., CAPACITORS, RESISTORS, TRANSISTORS, OR ""ARRAYS"" THEREOF).","INTEGRATED CIRCUIT DEVICES; INTEGRATED CIRCUIT MODULES; INTEGRATED ELECTRONIC DEVICES: HYBRID, MAGNETIC, MOLECULAR, OPTO-ELECTRONIC, AND THIN FILM."
"5963","ELECTRONIC MODULES",3/15/1980,,"ELECTRONIC MODULES","MICROCIRCUITS; ELECTRONIC TEST EQUIPMENT PLUG-IN UNITS.","THE TERM ""ELECTRONIC MODULE"" AS USED IN THIS CLASS DESIGNATES AN ELECTRONIC COMPONENT DESIGNED FOR USE IN VARIOUS EQUIPMENT OR END ITEM  APPLICATIONS, AND CAPABLE OF CONTROLLING VOLTAGE AND/OR CURRENT TO PRODUCE  GAIN, OSCILLATION, SWITCHING OR SIMILAR INTEGRAL ELECTRONIC FUNCTIONS.  IT CONSISTS OF A COLLECTION OF MINIATURIZED ELECTRONIC PARTS AND/OR ELEMENTS IN A  SINGLE REPLACEABLE PACKAGE WITH PLUG-IN MOUNTING WHICH WILL ALSO COMPLETE THE  REQUIRED ELECTRICAL CONNECTIONS.  IT IS NOT NORMALLY SUBJECT TO DISASSEMBLY AS  DISTINGUISHED FROM SUCH ITEMS AS CIRCUIT CARD ASSEMBLY AND  ELECTRONIC COMPONENTS ASSEMBLY.  THESE MODULES CONFORM TO  INDUSTRY OR GOVERNMENT SPECIFICATIONS/STANDARDS THAT DEFINE ALL PHYSICAL  DIMENSIONS AND ELECTRICAL PARAMETERS REQUIRED TO PROMOTE COMMONALITY AND  ENSURE PROPER OPERATIONAL PERFORMANCE.","MICROCIRCUITS; ELECTRONIC TEST EQUIPMENT PLUG-IN UNITS."
"5965","HEADSET,HANDSET,MICROPHONE & SPEAK",10/15/1978,,"HEADSETS, HANDSETS, MICROPHONES AND SPEAKERS",,,
"5970","ELECT INSULATORS & INSULATING MAT",10/15/1978,,"ELECTRICAL INSULATORS AND INSULATING MATERIALS",,,"TUBE, KNOB, CLEAT, STRAIN, AND STANDOFF INSULATORS; FEED THRU  INSULATORS; BEAD INSULATORS; VARNISH CAMBRIE TAPE; FRICTION TAPE."
"5975","ELECTRICAL HARDWARE AND SUPPLIES",10/15/1978,,"ELECTRICAL HARDWARE AND SUPPLIES",,,"CONDUIT; RACEWAYS; FACE PLATES; CONDULETS; OUTLET AND JUNCTION BOXES; POLE LINE HARDWARE, NOT ELSEWHERE CLASSIFIABLE."
"5977","ELECT CONTACT BRUSHES & ELECTRODES",10/15/1978,,"ELECTRICAL CONTACT BRUSHES AND ELECTRODES","ANODES; CATHODES, WELDING ELECTRODES.",,"BRUSHES FOR ELECTRICAL ROTATING EQUIPMENT; CARBON STOCK FOR BRUSHES; BRUSH ARM AND HOLDERS; LIGHTING ELECTRODES."
"5980","OPTOELECTRICAL DEVICES/ASSOC HARDWA",1/15/1987,,"OPTOELECTRONIC DEVICES AND ASSOCIATED HARDWARE","ELECTRIC LIGHTING FIXTURES, LAMPS, AND ASSOCIATED HARDWARE.",,"OPTOELECTRONIC DEVICES AND ASSEMBLIES WHICH DISPLAY NUMERIC, ALPHANUMERIC, SYMBOLIC, OR GRAPHIC INFORMATION EMITTERS, AND NONDISPLAY OPTOELECTRONIC  DEVICES, SUCH AS COUPLERS, DETECTORS, AND SWITCHES WHICH PERFORM AN ACTIVE FUNCTION IN AN  ELECTRONIC SYSTEM."
"5985","ANTENNAS WAVEGUIDES & RELATED EQ",10/15/1978,,"ANTENNAS, WAVEGUIDE, AND RELATED EQUIP-MENT","TOWER STRUCTURES.",,"AERIALS; MAST; TOWER EQUIPMENT; ATTENUATORS; COUPLERS; TRANSMISSION LINES."
"5990","SYNCHROS AND RESOLVERS",10/15/1978,,"SYNCHROS AND RESOLVERS","SYNCHRO SYSTEMS; SERVO MECHANISMS.",,"SYNCHRO SYSTEMS; SERVO MECHANISMS."
"5995","CABLE CORD WIRE ASSEMBLY - COMM EQ",10/15/1978,,"CABLE, CORD, AND WIRE ASSEMBLIES: COMMUNICATION EQUIPMENT","CABLE ASSEMBLIES, FIBER OPTIC","THIS CLASS INCLUDES ONLY THOSE TYPES OF CABLE, CORD, AND WIRE  ASSEMBLIES AND SETS (AND WIRING HARNESSES) USED ON OR  WITH EQUIPMENT  AND COMPONENTS COVERED BY GROUPS 58 AND 59. CABLE, CORD, WIRE ASSEMBLIES,  AND SETS (WIRING HARNESSES) USED ON OR WITH EQUIPMENT CLASSIFIED IN FSC GROUPS  OTHER THAN GROUPS 58 OR 59 ARE CLASSIFIED IN FSC CLASS 6150 IF MULTIAPPLICATION, OR CLASSIFIED WITH THE NEXT HIGHER CLASSIFIABLE ASSEMBLY IF SPECIALLY DESIGNED.","CABLE ASSEMBLIES, FIBER OPTIC"
"5996","AMPLIFIERS",10/1/1991,,"AMPLIFIERS","MULTI-FUNCTIONAL ITEMS SUCH AS AMPLIFIER-DETECTOR, AMPLIFIER-MIXER AND MICROCIRCUIT DEVICES.",,"AUDIO AMPLIFIERS, COMPLEMENTARY AMPLIFIERS, AMPLIFIERS, OPERATIONAL AMPLIFIERS, POWER AMPLIFIERS, RADIO FREQUENCY AMPLIFIERS, SIGNAL AMPLIFIERS, AND VIDEO AMPLIFIERS."
"5998","ELE ASSEMB-BDS CARDS-ASSOC HARDWARE",4/15/1989,,"ELECTRICAL AND ELECTRONIC ASSEMBLIES; BOARDS, CARDS, AND ASSOCIATED HARDWARE","CIRCUIT CARD AND ELECTRONIC COMPONENT ASSEMBLIES WHICH CAN BE IDENTIFIED TO A MORE DEFINITIVE APPROVED ITEM NAME.",,"CIRCUIT CARD AND ELECTRONIC COMPONENT ASSEMBLIES WHICH CAN BE IDENTIFIED TO A MORE DEFINITIVE APPROVED ITEM NAME."
"5999","MSC ELECT & ELECTRONIC COMPONENTS",10/15/1978,,"MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS",,,"PERMANENT MAGNETS AND MAGNETOSTRICTION ELEMENTS; CAPS, CLIPS, AND CONTACTS, ELECTRICAL."
"60","FIBER OPTIC",10/1/1979,,,,"FIBER OPTICS IS A GENERAL TERM USED TO DESCRIBE THE FUNCTION WHERE OPTICAL ENERGY (I.E., LIGHT/LASER DRIVEN RAYS) IS GUIDED TO ANOTHER LOCATION THROUGH FIBER(S).  THIS GROUP INCLUDES FIBER OPTICS ITEMS SUCH AS PARTS, MATERIALS, AND DEVICES USED FOR COMMUNICATIONS, DATA TRANSMISSION, OR  ILLUMINATION.  EXCLUDES IMAGING DEVICES UNDER FSG 65 (MEDICAL); HAND TOOLS UNDER FSG 51;  ELECTRICAL, ELECTRONIC AND OPTICAL INSTRUMENTS UNDER FSG 66 (INSTRUMENTS).",
"6004","ROTARY JOINTS",10/1/1991,,"ROTARY JOINTS",,,
"6005","COUPLERS, SPLITTERS, & MIXERS",10/1/1991,,"COUPLERS, SPLITTERS, & MIXERS",,,
"6006","ATTENUATORS",10/1/1991,,"ATTENUATORS",,,
"6007","FILTERS",10/1/1991,,"FILTERS",,,
"6008","OPTICAL MULTIPLEXERS/DEMULTIPLEXERS",10/1/1991,,"OPTICAL MULTIPLEXERS/DEMULTIPLEXERS",,,
"6010","FIBER OPTIC CONDUCTORS",2/15/1981,,"FIBER OPTIC CONDUCTORS",,"INCLUDED IN THIS CLASS ARE BULK DISCRETE FIBERS.",
"6015","FIBER OPTIC CABLES",9/15/1980,,"FIBER OPTIC CABLES",,"INCLUDED IN THIS CLASS ARE ONE OR MORE DISCRETE FIBER OPTIC CONDUCTORS WITH  A COMMON PROTECTIVE COVERING IN BULK FORM.  MAY INCLUDE ELECTRICAL CONDUCTORS/CABLES AND/OR REINFORCING MATERIAL.",
"6020","FIBER OPTIC CABLE ASSEMBLY & HARNES",9/15/1980,,"FIBER OPTIC CABLE ASSEMBLIES AND HARNESSES",,"INCLUDED IN THIS CLASS ARE ITEMS USED FOR COMMUNICATION AND/OR DATA TRANSMISSION HAVING ONE OR MORE FIBER OPTIC CONDUCTORS/CABLES WITH PROCESSED  END(S) OR TERMINATED IN FITTING(S).  EXCLUDED FROM THIS CLASS ARE ITEMS USED FOR ILLUMINATION AND/OR IMAGE TRANSMISSION.",
"6021","FIBER OPTIC SWITCHES",10/1/1991,,"FIBER OPTIC SWITCHES",,"INCLUDED IN THIS CLASS ARE SWITCHES USED FOR LINE SELECTION IN FIBER  OPTIC SYSTEMS.",
"6025","FIBER OPTIC TRANSMITTERS",10/1/1991,,"FIBER OPTIC TRANSMITTERS",,,
"6026","FIBER OPTIC RECEIVERS",10/1/1991,,"FIBER OPTIC RECEIVERS",,,
"6029","FIBER OPTIC REPEATERS",10/1/1991,,"FIBER OPTIC REPEATERS",,,
"6030","FIBER OPTIC DEVICES",7/15/1980,,"FIBER OPTIC DEVICES",,"INCLUDED IN THIS CLASS ARE SUCH ITEMS AS TRANSMITTERS, RECEIVERS, MUTLIPLEXERS, DEMULTIPLEXERS, MODULATORS, DEMODULATORS, REPEATERS, ATTENUATORS, FILTERS, INTEGRATED OPTICAL CIRCUITS, AND THE LIKE, USED IN FIBER OPTIC SYSTEMS.",
"6031","INTEGRATED OPTICAL CIRCUITS",10/1/1991,,"INTEGRATED OPTICAL CIRCUITS",,,
"6032","FIBER OPTIC LIGHT SOURCES",10/1/1991,,"FIBER OPTIC LIGHT SOURCES AND PHOTO DETECTORS",,"INCLUDED IN THIS CLASS ARE LIGHT EMITTING AND LASER DIODES AND PHOTO DETECTORS USED IN FIBER OPTIC SYSTEMS.",
"6033","FIBER OPTIC PHOTO DETECTORS",10/1/1991,,"FIBER OPTIC PHOTO DETECTORS",,,
"6034","FIBER OPTIC MOD/DEMODULATORS",10/1/1991,,"FIBER OPTIC MOD/DEMODULATORS",,,
"6035","FIBER OPTIC LIGHT/IMAGE TRANSFER",2/15/1991,,"FIBER OPTIC LIGHT TRANSFER AND IMAGE TRANSFER DEVICES",,"INCLUDED IN THIS CLASS ARE FIBER OPTIC DEVICES USED FOR ILLUMINATION  AND/OR IMAGE TRANSMISSION.  EXCLUDED FROM THIS CLASS ARE ITEMS USED FOR  COMMUNICATION AND/OR DATA TRANSMISSION.",
"6040","FIBER OPTIC SENSORS",10/1/1991,,"FIBER OPTIC SENSORS",,,
"6050","FIBER OPTIC PASSIVE DEVICES",10/1/1991,,"FIBER OPTIC PASSIVE DEVICES",,,
"6060","FIBER OPTIC INTERCONNECTORS",7/15/1981,,"FIBER OPTIC INTERCONNECTORS","ELECTRICAL CONNECTORS","INCLUDED IN THIS CLASS ARE ALL TYPES OF FIBER OPTIC TERMINATIONS, SUCH AS CONNECTORS, DIVIDERS, COUPLERS, ROTARY AND NONROTARY JOINTS, SPLITTERS, MIXERS AND SPLICERS AND THE LIKE.","ELECTRICAL CONNECTORS"
"6070","FIBER OPTIC ACCESSORIES & SUPPLIES",2/15/1981,,"FIBER OPTIC ACCESSORIES AND SUPPLIES",,"INCLUDED IN THIS CLASS ARE MODE STRIPPING MATERIALS, INDEX MATCHING MATERIALS AND OTHER RELATED SUPPLIES.  EXCLUDED FROM THIS CLASS ARE HARDWARE AND SUPPLIES COMMON TO BOTH ELECTRICAL AND FIBER OPTIC APPLICATIONS WHICH ARE CLASSIFIABLE IN FSC 5975.",
"6080","FIBER OPTIC KITS AND SETS",5/15/1981,,"FIBER OPTIC KITS AND SETS","TOOL KITS AND SETS WHICH ARE CLASSIFIABLE IN FSC 5180; TEST SET/ INSTRUMENTS  CLASSIFIABLE IN FSG 66; AND END ITEM SETS/ EQUIPMENT UTILIZING FIBER OPTIC COMPONENTS WHICH ARE CLASSIFIABLE IN THE APPLICABLE EQUIPMENT FSC.","INCLUDES KITS AND SETS WHICH CONSISTS OF FIBER OPTIC COMPONENTS ONLY; FIBER OPTIC COMPONENTS AND RELATED PARTS; FIBER OPTIC COMPONENTS AND RELATED TOOLS; OR FIBER OPTIC COMPONENTS, RELATED PARTS AND RELATED TOOLS.","TOOL KITS AND SETS WHICH ARE CLASSIFIABLE IN FSC 5180; TEST SET/ INSTRUMENTS  CLASSIFIABLE IN FSG 66; AND END ITEM SETS/ EQUIPMENT UTILIZING FIBER OPTIC COMPONENTS WHICH ARE CLASSIFIABLE IN THE APPLICABLE EQUIPMENT FSC."
"6099","MISC FIBER OPTIC COMPONENTS",10/1/1991,,"MISCELLANEOUS FIBER OPTIC COMPONENTS",,"INCLUDED IN THIS, CLASS ARE FIBER OPTIC ITEMS WHICH ARE NOT  CLASSIFIABLE IN A MORE SPECIFIC CLASS. (SEE THE ""NOTE"" FOR FSG 60.)",
"61","ELECTRIC WIRE, POWER DISTRIB EQPT",10/1/1979,,,,,
"6105","MOTORS, ELECTRICAL",10/15/1978,,"MOTORS, ELECTRICAL","STARTING MOTORS FOR ENGINES",,"STARTING MOTORS FOR ENGINES"
"6110","ELECTRICAL CONTROL EQUIPMENT",10/15/1978,,"ELECTRICAL CONTROL EQUIPMENT","AUTOMATIC PILOT MECHANISMS; RELAYS; RESISTORS.",,"CONTACTORS:  MOTOR CONTROLLERS; POWER SERVOMECHANISMS; SWITCHGEAR; VOLTAGE REGULATORS."
"6115","GENERATORS & GENERATOR SETS ELECT",10/15/1978,,"GENERATORS AND GENERATOR SETS, ELECTRICAL","MOTOR-CONVERTERS: MOTOR-GENERATOR SETS; ENGINE GENERATORS; ENGINE ACCESSORY GENERATORS.",,"ENGINE, TURBINE, WIND, AND HAND DRIVEN GENERATOR SETS AND  AUXILIARY AIRCRAFT GENERATORS."
"6116","FUEL CELL POWER UNITS, COMP, ACC",11/15/1978,,"FUEL CELL POWER UNITS, COMPONENTS, AND ACCESSORIES","PRIMARY BATTERIES (FSC 6135); SECONDARY BATTERIES (FSC 6140); GENERATORS AND GENERATING SETS (FSC 6115); AND ITEMS FOR WHICH MORE SUITABLE CLASSES ARE SPECIFICALLY PRESCRIBED BY THE INDEXES AND STRUCTURE OF THE FSC.","THIS CLASS INCLUDES ITEMS THAT ARE DESIGNED TO PRODUCE AN ELECTROMOTIVE  FORCE DIRECTLY FROM AN OXIDATION-REDUCTION TYPE OF CHEMICAL REACTION.  A COMPLETE  POWER UNIT MUST INCLUDE TANKS, PUMPS, AND ASSOCIATED CONTROL EQUIPMENT, AND  REQUIRES A CONTINUOUS, UNINTERRUPTED SUPPLY OF LIQUID OR GASEOUS FUEL AND OXIDIZERS.","COMPLETE FUNCTIONING FUEL CELL POWER UNITS; FUEL CELLS: FUEL CELL ASSEMBLIES OR MODULES; FUEL CELL REACTANT CHAMBERS; FUEL FEED MECHANISM; ELECTROLYTE HEATERS; HEAT EXCHANGERS; AND OTHER INTERNAL COMPONENTS PECULIAR TO, AND USED EXCLUSIVELY  ON OR WITH, FUEL CELL POWER UNITS CLASSIFIED IN THIS CLASS."
"6117","SOLAR ELECTRIC POWER SYSTEMS",7/15/1991,,"SOLAR ELECTRIC POWER SYSTEMS",,"THIS CLASS INCLUDES ITEMS WHICH ARE DESIGNED FOR THE DIRECT CONVERSION  OF SOLAR ENERGY INTO ELECTRICAL POWER.",
"6120","TRANSFORMERS - DISTRIB & POWER STA",10/15/1978,,"TRANSFORMERS: DISTRIBUTION AND POWER STATION","POTENTIAL AND CURRENT TRANSFORMERS.","THIS CLASS INCLUDES TRANSFORMERS WITH A KILOVOLT-AMPERE RATING  ABOVE  1 KVA.","POTENTIAL AND CURRENT TRANSFORMERS."
"6125","CONVERTERS, ELECTRICAL, ROTATING",10/15/1978,,"CONVERTERS, ELECTRICAL, ROTATING","NONROTATING EQUIPMENT.","THIS CLASS INCLUDES DEVICES EMPLOYING MECHANICAL ROTATION OF CHANGING ELECTRICAL ENERGY FROM ONE FORM TO ANOTHER (I.E., AC TO AC, DC TO DC, AC TO DC,  DC TO AC).  EXCLUDED FROM THIS CLASS ARE ELECTRICAL GENERATORS AND GENERATOR SETS (FSC 6115).","COMPLETE BATTERY CHARGING EQUIPMENT, ROTATING; DYNAMOTORS; MOTOR CONVERTERS; MOTOR-GENERATOR SETS; PHASE CONVERTERS; ROTATING EQUIPMENT; SYNCHRONOUS CONVERTERS."
"6130","CONVERTERS, ELECTRICAL, NONROTATING",10/15/1978,,"CONVERTERS, ELECTRICAL, NONROTATING","RECTIFYING TUBES; (FSC 5960); RECTIFYING CRYSTALS (FSC 5961); ROTATING EQUIPMENT (FSC 6125); TRANSFORMERS (FSC 5950); AND SEMICONDUCTOR DEVICES AND ASSOCIATED HARDWARE (FSC 5961).","THIS CLASS INCLUDES DEVICES EMPLOYING A MEANS OTHER THAN MECHANICAL ROTATION FOR CHANGING ELECTRICAL ENERGY FROM ONE FORM TO ANOTHER (I.E., AC TO AC, DC TO DC, AC TO DC, AND DC TO AC).","COMPLETE BATTERY CHARGING EQUIPMENT, NONROTATING; POWER SUP-PLIES, MULTIAPPLICATION."
"6135","BATTERIES, NONRECHARGEABLE",10/15/1978,,"BATTERIES, NONRECHARGEABLE",,,"CELLS AND DRY BATTERIES; NUCLEAR BATTERIES."
"6140","BATTERIES, RECHARGEABLE",10/15/1978,,"BATTERIES, RECHARGEABLE",,,"RECHARGEABLE CELLS AND BATTERIES."
"6145","WIRE AND CABLE, ELECTRICAL",10/15/1978,,"WIRE AND CABLE, ELECTRICAL","RADIO FREQUENCY TRANSMISSION LINE (FSC 5985); FIBER OPTIC CABLE (FSC 6015); COMMUNICATION CABLE ASSEMB-LIES; (FSC 5995); DISTRIBUTION AND POWER TRANSMISSION CABLE ASSEMBLIES (FSC 6150).","THIS CLASS INCLUDES ONLY BULK ELECTRICAL WIRE AND CABLE.  EXCLUDED  FROM THIS CLASS ARE ELECTRICAL WIRE AND CABLE ITEMS OF DEFINITE LENGTH EITHER WITH  PROCESSED ENDS, OR TERMINATED IN FITTINGS","INSULATED AND NONINSULATED, WIRE AND CABLE, SUCH AS, ANTENNA WIRE,  COAXIAL CABLE, FUSE AND RESISTANCE WIRE, AND MAGNET WIRE."
"6150","MISC ELECTRIC POWER & DISTRIB EQ",10/15/1978,,"MISCELLANEOUS ELECTRIC POWER AND DISTRIBUTION EQUIPMENT",,,"APPLIANCE AND EXTENSION CORDS; ELECTRIC POWER AND DISTRIBUTION CABLE WITH ATTACHMENTS, MULTIAPPLICATION; COMMON COMPONENTS OF ELECTRICAL ROTATING EQUIPMENT, SUCH AS END BELLS AND FRAMES."
"6160","MISC BATTERY RET FIXTURES & LINERS",10/1/1991,,"MISCELLANEOUS BATTERY RETAINING FIXTURES AND LINERS",,,"BATTERY BOXES, COVERS, LINERS, RACKS, RETAINERS, AND TRAYS."
"62","LIGHTING FIXTURES, LAMPS",10/1/1979,,,,,
"6210","INDOOR & OUTDOOR ELEC LIGHTING FIXT",10/15/1978,,"INDOOR AND OUTDOOR ELECTRIC LIGHTING FIXTURES","NONELECTRICAL OUTDOOR FIXTURES; SIGNAL FIXTURES; NONELECTRICAL INDOOR FIXTURES.",,"AIRPORT, RAILROAD PLATFORM, STADIUM, AND STREET LIGHTING FIXTURES."
"6220","ELEC VEHICULAR LIGHTS & FIXTURES",10/15/1978,,"ELECTRIC VEHICULAR LIGHTS AND FIXTURES","NONELECTRICAL VEHICULAR FIXTURES.",,"AUTOMOTIVE, MARINE, RAILROAD, AND AIRCRAFT LIGHTS AND FIXTURES."
"6230","ELEC PORTABLE & HAND LIGHTING EQ",10/15/1978,,"ELECTRIC PORTABLE AND HAND LIGHTING EQUIPMENT","NONELECTRICAL PORTABLE AND HAND LIGHTING EQUIPMENT; SIGNAL AND  ALARM EQUIPMENT.",,"FLOODLIGHTS; SEARCHLIGHTS; EXTENSION LIGHTS."
"6240","ELECTRIC LAMPS",10/15/1978,,"ELECTRIC LAMPS",,,"FLUORESCENT LAMPS; INCANDESCENT LAMPS, LARGE AND MINIATURE;  MERCURY LAMPS; SODIUM LAMPS."
"6250","BALLASTS, LAMPHOLDERS, AND STARTERS",12/15/1978,,"BALLASTS, LAMPHOLDERS, AND STARTERS",,,
"6260","NONELECTRICAL LIGHTING FIXTURES",10/15/1978,,"NONELECTRICAL LIGHTING FIXTURES",,,"LANTERNS, NONELECTRICAL; HAND AND PORTABLE CARBIDE LAMPS; CANDLES."
"63","ALARM, SIGNAL, SECURITY DETECTION",10/1/1979,,,,,
"6310","TRAFFIC AND TRANSIT SIGNAL SYSTEMS",12/15/1978,,"TRAFFIC AND TRANSIT SIGNAL SYSTEMS","RAILROAD SIGNALS.",,"RAILROAD SIGNALS."
"6320","SHIPBOARD ALARM AND SIGNALS SYSTEMS",10/15/1978,,"SHIPBOARD ALARM AND SIGNALS SYSTEMS",,,
"6330","RAILROAD SIGNAL AND WARNING DEVICES",12/15/1978,,"RAILROAD SIGNAL AND WARNING DEVICES","SEMAPHORE FLAG SIGNALS.",,"RAILROAD GATES; FLASHER LIGHTS; BLOCK SIGNALS."
