"Indent","Category","Source","Report","2000 (Corp)","2001 (Corp)","2002 (Corp)","2003 (Corp)","2004 (Corp)","2005 (Corp)","2006 (Corp)","2007 (Corp)","2008 (Corp)","2009 (Corp)","2010 (Corp)","2011 (Corp)","2012 (Corp)","2013 (Corp)","2014 (Corp)","2015 (Corp)","2016 (Corp)","2000 (Indv)","2001 (Indv)","2002 (Indv)","2003 (Indv)","2004 (Indv)","2005 (Indv)","2006 (Indv)","2007 (Indv)","2008 (Indv)","2009 (Indv)","2010 (Indv)","2011 (Indv)","2012 (Indv)","2013 (Indv)","2014 (Indv)","2015 (Indv)","2016 (Indv)","Description/Expenditure Name","Notes",,
"#","Capital gains treatment of royalties on coal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>For individuals in 2009, tax rates on regular income vary from 10 percent to 35 percent, depending on the taxpayer's income. The baseline tax system generally would tax all income under the regular tax rate schedule. It would not allow preferentially low tax rates to apply to certain types or sources of income. In contrast, current law allows capital gains to be taxed at a preferentially low rate that is no higher than 15 percent. Certain sales of coal under royalty contracts qualify for taxation as capital gains rather than ordinary income, and so benefit from the preferentially low 15 percent maximum tax rate on capital gains. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",14,"Treasury",2001,0,0,0,0,0,0,,,,,,,,,,,,65,70,70,75,80,85,,,,,,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",15,"Treasury",2002,0,0,0,0,0,0,0,,,,,,,,,,,70,70,80,80,80,90,90,,,,,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2003,,0,0,0,0,0,0,0,,,,,,,,,,,100,100,110,120,120,130,140,,,,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2004,,,0,0,0,0,0,0,0,,,,,,,,,,,100,110,110,120,120,130,140,,,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2005,,,,0,0,0,0,0,0,0,,,,,,,,,,,100,110,120,120,130,130,140,,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2006,,,,,0,0,0,0,0,0,0,,,,,,,,,,,70,70,80,80,100,70,60,,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,90,90,90,100,70,60,80,,,,,,"Capital gains treatment of royalties on coal",,,
"#+",14,"Treasury",2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,160,170,170,170,190,180,130,,,,,"Capital gains treatment of royalties on coal",,,
"#+",13,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,180,190,190,200,190,140,150,,,,"Capital gains treatment of royalties on coal",,,
"#+",13,"Treasury",2010,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,140,110,110,130,140,,,"Capital gains treatment of royalties on coal",,,
"#+",13,"Treasury",2011,,,,,,,,,,,,,,,,,,,,,,,,,,,70,60,60,60,70,80,100,,"Capital gains treatment of royalties on coal",,,
"#+",13,"Treasury",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,60,60,80,90,"Capital gains treatment of royalties on coal",,,
"#","Credit for business installation of qualified fuel cells and stationary microturbine power plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>A 30 percent business energy credit for purchase
of qualified fuel cell power plants for businesses
(up to $500 for each 0.5 kilowatt of capacity) and a
10 percent credit for purchase of qualifying stationary
microturbine power plants (up to a maximum of $200
for each kilowatt of capacity) are allowed. The credit
applies to property placed in service prior to January
1, 2009.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy09/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2009</em>.</a>",,
"#+",34,"Treasury",2007,,,,,,0,60,100,40,-10,-10,-10,,,,,,,,,,,0,20,30,10,0,0,0,,,,,,"Credit for business installation of qualified fuel cells and stationary microturbine power plants",,,
"#+",31,"Treasury",2008,,,,,,,60,70,100,40,-10,-10,-10,,,,,,,,,,,20,20,30,10,0,0,0,,,,,"Credit for business installation of qualified fuel cells and stationary microturbine power plants",,,
"#+",31,"Treasury",2009,,,,,,,,20,30,10,0,0,0,0,,,,,,,,,,,60,100,40,-10,-10,-10,-10,,,,"Credit for business installation of qualified fuel cells and stationary microturbine power plants",,,
"#","Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Section 30 provides a 10% tax credit for the purchase of qualified lowspeed, two-wheeled, and three-wheeled plug-in electric vehicles. The credit is capped at $2,500. To be eligible for the credit, vehicles must be acquired for use or lease by the taxpayer, and not for resale. Sellers selling qualifying vehicles to tax-exempt entities may claim the credit after fully disclosing the credit amount to the tax-exempt buyer. Additionally, to qualify for the credit, the vehicle must be used predominately within the United States. No credit is available for plug-in electric vehicles claiming a tax credit as a qualified plug-in electric drive vehicle under section 30D. For businesses claiming credits for depreciable property, the credit is treated as being part of the general business credit. The credit is available for vehicles acquired after February 17, 2009, and before January 1, 2012.</p>","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office.",,
"#+",,"JCT",2011,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle",,,
"#+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,"Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle",,,
"#","Credit for construction of new energy efficient homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. However, the Tax Code allows contractors a tax credit of $2,000 for the construction of a qualified new energy-efficient home that has an annual level of heating and cooling energy consumption at least 50 percent below the annual consumption of a comparable dwelling unit. The credit equals $1,000 in the case of a new manufactured home that meets a 30 percent standard. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2010,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,,,"New energy efficient home credit",,,
"#+",,"JCT",2011,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,,"New energy efficient home credit",,,
"#+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,0,0,0,0,0,,,"New energy efficient home credit",,,
"#+",30,"Treasury",2007,,,,,,0,10,20,10,10,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Credit for construction of new energy efficient homes",,,
"#+",27,"Treasury",2008,,,,,,,10,20,20,20,10,0,0,,,,,,,,,,,0,0,10,0,0,0,0,,,,,"Credit for construction of new energy efficient homes",,,
"#+",27,"Treasury",2009,,,,,,,,20,20,20,10,0,0,0,,,,,,,,,,,0,10,0,0,0,0,0,,,,"Credit for construction of new energy efficient homes",,,
"#+",28,"Treasury",2010,,,,,,,,,20,20,10,0,0,0,0,,,,,,,,,,,10,0,0,0,0,0,0,,,"Credit for construction of new energy efficient homes",,,
"#+",28,"Treasury",2011,,,,,,,,,,10,10,10,10,0,0,0,,,,,,,,,,,20,10,10,10,0,0,0,,"Credit for construction of new energy efficient homes",,,
"#+",28,"Treasury",2012,,,,,,,,,,,10,10,10,0,0,0,0,,,,,,,,,,,10,10,10,0,0,0,0,"Credit for construction of new energy efficient homes",,,
"#","Credit for energy efficiency improvements to existing homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. However, the Tax Code provides an investment tax credit for expenditures made on insulation, exterior windows, and doors that improve the energy efficiency of homes and meet certain standards. The Tax Code also provides a credit for purchases of advanced main air circulating fans, natural gas, propane, or oil furnaces or hot water boilers, and other qualified energy efficient property. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,0,0,0,0,0,,,,,,,,,,,,,100,300,200,0,0,,,,,,,"Tax credit for the purchase of qualified energy efficiency improvements to existing homes",,,
"#+",,"JCT",2009,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,300,200,0,0,0,,,,,,"Tax credit for the purchase of qualified energy efficiency improvements to existing homes",,,
"#+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,800,300,1000,0,0,,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,300,1700,1200,0,0,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",31,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,220,380,150,0,0,0,,,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",28,"Treasury",2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,230,380,150,0,0,0,0,,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",28,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,380,150,0,0,0,0,0,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",29,"Treasury",2010,,,,,,,,,,,,,,,,,,,,,,,,,,230,380,150,0,0,0,0,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",29,"Treasury",2011,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,570,1950,1460,0,0,0,0,,"Credit for energy efficiency improvements to existing homes",,,
"#+",31,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,0,220,380,150,0,0,0,,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",28,"Treasury",2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,230,380,150,0,0,0,0,,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",28,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,380,150,0,0,0,0,0,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",29,"Treasury",2010,,,,,,,,,,,,,,,,,,,,,,,,,,,230,380,150,0,0,0,0,,"Credit for energy efficiency improvements to existing homes",,,
"#+",29,"Treasury",2011,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,570,1950,1460,0,0,0,0,"Credit for energy efficiency improvements to existing homes",,,
"#+",,"JCT",2012,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,1700,1200,0,0,0,,,"Credit for energy efficiency improvements to existing homes",,,
"#+",29,"Treasury",2012,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,3190,5530,2270,0,0,0,0,"Credit for energy efficiency improvements to existing homes",,,
"#","Credit for energy efficient appliances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. In contrast, the Tax Code provides tax credits for the manufacture of efficient dishwashers, clothes washers, and refrigerators. The size of the credit depends on the efficiency of the appliance. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,100,100,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,,"Tax credit for the production of energy-efficient appliances",,,
"#+",,"JCT",2009,,,,,,,,100,"<50",0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,,,"Tax credit for the production of energy-efficient appliances",,,
"#+",,"JCT",2010,,,,,,,,,100,100,100,"<50",0,,,,,,,,,,,,,0,0,0,0,0,,,,,"Credit for the production of energy-efficient appliances",,,
"#+",,"JCT",2011,,,,,,,,,,100,200,100,0,0,,,,,,,,,,,,,0,0,0,0,0,,,,"Credit for the production of energy-efficient appliances",,,
"#+",,"JCT",2012,,,,,,,,,,,200,100,0,0,0,,,,,,,,,,,,,0,0,0,0,0,,,"Credit for the production of energy-efficient appliances",,,
"#+",32,"Treasury",2007,,,,,,0,120,80,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Credit for energy efficient appliances",,,
"#+",29,"Treasury",2008,,,,,,,120,80,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,"Credit for energy efficient appliances",,,
"#+",29,"Treasury",2009,,,,,,,,80,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,"Credit for energy efficient appliances",,,
"#+",30,"Treasury",2010,,,,,,,,,120,130,130,50,0,0,0,,,,,,,,,,,,,,,,,,,,"Credit for energy efficient appliances",,,
"#+",30,"Treasury",2011,,,,,,,,,,130,130,50,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,"Credit for energy efficient appliances",,,
"#+",30,"Treasury",2012,,,,,,,,,,,150,60,0,0,0,0,0,,,,,,,,,,,,,,,,,,"Credit for energy efficient appliances",,,
"#","Credit for enhanced oil recovery costs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Section 43 provides for a 15% income tax credit for the costs of recovering domestic oil by a qualified enhanced-oil-recovery"" (EOR) methods. Qualifying methods apply fluids  and other chemicals into an oil reservoir gases and use heat to extract oil that is too viscous to be extracted by conventional primary and secondary water-flooding techniques.</p>","Description adapted from <a href=""http://frwebgate.access.gpo.gov/cgi-bin/getdoc.cgi?dbname=110_cong_senate_committee_prints&docid=f:45728.pdf""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2008, Washington, DC: U.S. Government Printing Office.",," "
"#+",,"JCT",2010,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Credit for enhanced oil recovery costs",,,
"#+",,"JCT",2011,,,,,,,,,,"<50",100,"<50","<50","<50",,,,,,,,,,,,,"<50",100,"<50","<50","<50",,,,"Credit for enhanced oil recovery costs",,,
"#+",,"JCT",2012,,,,,,,,,,,"<50","<50",0,0,0,,,,,,,,,,,,,"<50","<50",0,0,0,,,"Credit for enhanced oil recovery costs",,,
"#","Credit for holding clean renewable energy bonds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. In contrast, the Tax Code provides for the issuance of Clean Renewable Energy Bonds which entitles the bond holder to a Federal income tax credit in lieu of interest. The limit on the volume issued in 2009 is $2.4 billion. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,"Tax credit for holders of clean renewable energy bonds",,,
"#+",,"JCT",2009,,,,,,,,"<50","<50",100,100,100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,"Tax credit for holders of clean renewable energy bonds",,,
"#+",,"JCT",2010,,,,,,,,,"<50",100,100,100,100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Credit for holders of clean renewable energy bonds",,,
"#+",,"JCT",2011,,,,,,,,,,"<50",100,100,100,200,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Credit for holders of clean renewable energy bonds",,,
"#+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,100,100,100,100,100,,,"Credit for holders of clean renewable energy bonds (sections 54 and 54C)",,,
"#+",21,"Treasury",2007,,,,,,0,0,10,30,40,50,50,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Credit for holding clean renewable energy bonds",,,
"#+",20,"Treasury",2008,,,,,,,10,30,40,50,50,50,50,,,,,,,,,,,10,30,40,50,50,50,50,,,,,"Credit for holding clean renewable energy bonds",,,
"#+",20,"Treasury",2009,,,,,,,,10,10,20,20,20,20,20,,,,,,,,,,,10,30,50,50,50,50,50,,,,"Credit for holding clean renewable energy bonds",,,
"#+",21,"Treasury",2010,,,,,,,,,10,20,20,20,20,20,20,,,,,,,,,,,30,50,50,50,50,50,50,,,"Credit for holding clean renewable energy bonds",,,
"#+",21,"Treasury",2011,,,,,,,,,,20,20,30,30,40,40,40,,,,,,,,,,,50,60,70,90,100,100,100,,"Credit for holding clean renewable energy bonds",,,
"#+",21,"Treasury",2012,,,,,,,,,,,20,20,20,20,20,20,20,,,,,,,,,,,50,50,50,50,50,50,50,"Credit for holding clean renewable energy bonds ",,,
"#","Credit for investment in clean coal facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. In contrast, the Tax Code provides investment tax credits for clean coal facilities producing electricity and for industrial gasification combined cycle projects. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2008,,,,,,,"<50",100,100,200,200,,,,,,,,,,,,,0,0,0,0,0,,,,,,,"Tax credits for investments in clean coal power generation facilities",,,
"#+",,"JCT",2009,,,,,,,,100,100,200,200,300,,,,,,,,,,,,,0,0,0,0,0,,,,,,"Tax credits for investments in clean coal power generation facilities",,,
"#+",,"JCT",2010,,,,,,,,,200,200,200,100,100,,,,,,,,,,,,,0,0,0,0,0,,,,,"Credits for investments in clean coal facilities",,,
"#+",,"JCT",2011,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,,0,0,0,0,0,,,,"Credits for investments in clean coal facilities",,,
"#+",,"JCT",2012,,,,,,,,,,,200,200,200,200,200,,,,,,,,,,,,,0,0,0,0,0,,,"Credits for investments in clean coal facilities",,,
"#+",22,"Treasury",2008,,,,,,,0,30,50,80,130,180,250,,,,,,,,,,,0,0,0,0,0,0,0,,,,,"Credit for investment in clean coal facilities",,,
"#+",22,"Treasury",2009,,,,,,,,30,50,80,130,180,245,290,,,,,,,,,,,0,0,0,0,0,0,0,,,,"Credit for investment in clean coal facilities",,,
"#+",23,"Treasury",2010,,,,,,,,,30,200,290,260,240,230,210,,,,,,,,,,,,,,,,,,,,"Credit for investment in clean coal facilities",,,
"#+",23,"Treasury",2011,,,,,,,,,,180,290,480,550,440,360,250,,,,,,,,,,,0,0,0,0,0,0,0,,"Credit for investment in clean coal facilities",,,
"#+",23,"Treasury",2012,,,,,,,,,,,240,400,460,450,360,300,200,,,,,,,,,,,,,,,,,,"Credit for investment in clean coal facilities",,,
"#","Credit for production from advanced nuclear power facilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>This provision was introduced by
the Energy Tax Incentives Act of 2005. A taxpayer producing
electricity at a qualifying advanced nuclear
power facility may claim a credit equal to 1.8 cents
per kilowatt-hour of electricity produced for the eightyear
period starting when the facility is placed in service,
limited no more than $125 million in tax credits
per 1,000 megawatts of allocated capacity in any one
year.</p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy07/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2007</em>.</a>",,
"#+",23,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Credit for production from advanced nuclear power facilities",,,
"#","Credit for residential energy efficient property",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. However, the Tax Code provides a credit for the purchase of a qualified photovoltaic property and solar water heating property, as well as for fuel cell power plants, geothermal heat pumps and small wind property. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"<50","<50",0,0,0,,,,,"Residential energy efficient property credit",,,
"#+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,100,200,200,200,200,,,,"Residential energy efficient property credit",,,
"#+",,"JCT",2012,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,200,200,200,200,200,,,"Residential energy efficient property credit",,,
"#+",33,"Treasury",2007,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,0,10,10,10,0,0,0,,,,,,"30% credit for residential purchases/installations of solar and fuel cells",,,
"#+",30,"Treasury",2008,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,10,10,10,0,0,0,0,,,,,"30% credit for residential purchases/installations of solar and fuel cells",,,
"#+",30,"Treasury",2009,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,10,10,10,0,0,0,0,,,,"30% credit for residential purchases/installations of solar and fuel cells",,,
"#+",31,"Treasury",2010,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,20,0,0,0,0,,,"Credit for residential purchases/installations of solar and fuel cells",,,
"#+",31,"Treasury",2011,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,110,180,180,180,190,190,190,,"Credit for residential purchases/installations of solar and fuel cells",,,
"#+",31,"Treasury",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,220,230,230,230,240,"Credit for residential energy efficient property",,,
"#","Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system generally would tax gains from sale when realized. However, the Tax Code allows utilities to defer gains from the sale of their transmission assets to a FERC-approved independent transmission company. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",,"JCT",2007,,,,,,2700,2100,-200,-1000,-1000,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,"Deferral of gain from the disposition of electric transmission property to implement Federal Energy Regulatory Commission restructuring policy",,,
"#+",,"JCT",2008,,,,,,,600,500,">-50",-300,-300,,,,,,,,,,,,,0,0,">-50",0,0,,,,,,,"Deferral of gain from the disposition of electric transmission property to implement Federal Energy Regulatory Commission restructuring policy",,,
"#+",,"JCT",2010,,,,,,,,,300,200,"<50",-100,-100,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Eight-year inclusion from sale of electric transmission assets to independent utilities",,,
"#+",22,"Treasury",2007,,,,,,490,620,530,230,-100,-360,-510,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,"Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,
"#+",21,"Treasury",2008,,,,,,,620,530,230,-100,-360,-510,-540,,,,,,,,,,,0,0,0,0,0,0,0,,,,,"Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,
"#+",21,"Treasury",2009,,,,,,,,610,250,-60,-290,-490,-590,-570,,,,,,,,,,,0,0,0,0,0,0,0,,,,"Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,
"#+",22,"Treasury",2010,,,,,,,,,-30,-50,-120,-320,-400,-480,-490,,,,,,,,,,,,,,,,,,,,"Deferral of gain from dispositions of transmission property toimplement FERC restructuring policy",,,
"#+",22,"Treasury",2011,,,,,,,,,,-10,-150,-400,-460,-490,-500,-470,,,,,,,,,,,,,,,,,,,"Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,
"#+",22,"Treasury",2012,,,,,,,,,,,-50,-150,-150,-130,-110,-80,-50,,,,,,,,,,,,,,,,,,"Deferral of gain from dispositions of transmission property to implement FERC restructuring policy",,,
"#","Energy investment credit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would not allow credits for particular activities, investments, or industries. Instead, it generally would seek to tax uniformly all returns from investment-like activities. However, the Tax Code provides credits for investments in solar and geothermal energy property, qualified fuel cell power plants, stationary microturbine power plants, geothermal heat pumps, small wind property and combined heat and power property. Owners of renewable power facilities that qualify for the energy production credit may instead elect to take an energy investment credit. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy11/pdf/spec.pdf""><em>Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2011</em>.</a>",,
"#+",16,"Treasury",2010,,,,,,,,,30,30,30,30,30,30,30,,,,,,,,,,,20,20,20,20,20,20,20,,,"Energy investment credit",,,
"#+",16,"Treasury",2011,,,,,,,,,,230,430,480,540,350,330,400,,,,,,,,,,,40,100,120,140,70,40,50,,"Energy investment credit ","Firms can take an energy grant in lieu of the energy production credit or the energy investment credit for facilities placed in service in 2009 and 2010 or whose construction commenced in 2009 and 2010. The effect of the grant on outlays (in millions of dollars) is as follows: 2009 $1,050; 2010 $3,090; 2011 $4,460; 2012 $4,240; 2013 $2,360; 2014 $230; 2015 $30. (Some footnotes in the FY2011 OMB document are misaligned.  Subsidyscope has shifted these footnotes to their appropriate place.)",,
"#+",16,"Treasury",2012,,,,,,,,,,,100,120,720,1260,790,390,400,,,,,,,,,,,30,50,240,430,240,90,90,"Energy investment credit ",,,
"##","Energy credit (Section 48)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##+",,"JCT",2008,,,,,,,"<50",100,"<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,"Energy credit (Section 48)",,,
"##+",,"JCT",2009,,,,,,,,100,100,"<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,"Energy credit (Section 48)",,,
"##","Fuel cells",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##+",,"JCT",2010,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Fuel cells",,,
"##+",,"JCT",2011,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Fuel cells",,,
"##+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,"Fuel cells",,,
"##","Geothermal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##+",,"JCT",2010,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Geothermal",,,
"##+",,"JCT",2011,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Geothermal",,,
"##+",,"JCT",2012,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,"Geothermal",,,
"##","Microturbines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"##+",,"JCT",2010,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,"Microturbines",,,
"##+",,"JCT",2011,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,"Microturbines",,,
