/AA|Anchorage, AK: (Anchorage Mean)
BWB|Barrow Island, Au|
BWD|Brownwood, TX: Brownwood Municipal
BWE|Braunschweig, Germany: Braunschweig
BWG|Bowling Green, KY: Bowling Green/Warren County
BWH|Butterworth, Malaysia: Butterworth A/D Penang Malaysia        Bwh
BWI|Baltimore, MD: Baltimore/Washington International Thurgood Marshall
BWJ|Bawan, Papua New Guinea: Bawan Airport
BWK|Bol, Hr|
BWM|Bowman, ND: Bowman County
BWN|Bandar Seri Begawan, Brunei: Brunei
BWO|Balakovo, Ru|
BWP|Bewani, Pg|
BWQ|Brewarrina, Au|
BWS|Blaine, WA: Blaine Municipal
BWT|Burnie, Australia: Burnie Airport
BWY|Woodbridge, United Kingdom: Bentwaters
BXB|Babo, Id|
BXC|Boxborough, MA: Sheraton Inn Heliport
BXD|Bade, Indonesia: Bade Airport
BXE|Bakel, Senegal: Bakel Airport
BXH|Balhash, Kz|
BXI|Boundiali, Ci|
BXM|Batom, Id|
BXN|Bodrum, Tr|
BXO|Bissau, Guinea Bissau: Bissau Airport
BXR|Unknown Code Description|
BXS|Borrego Springs, CA: Borrego Springs Airport
BXU|Butuan, Philippines: Bancasi
BXV|Breiddalsvik, Is|
BXX|Borama, So|
BXZ|Bunsil, Pg|
BYA|Boundary, AK: Boundary Airport
BYB|Bayah, Om|
BYC|Yacuiba, Bolivia: Yacuiba Bo
BYF|Rock Hill, SC: Bryant Field
BYG|Buffalo, WY: Johnson County
BYH|Blytheville, AR: Blytheville Air Force Base
BYI|Burley/Rupert, ID: Burley Municipal
BYK|Bouake, Cote d Ivoire (formerly Ivory Coast): Bouake Airport
BYM|Bayamo, Cu|
BYN|Boyne Mountain, MI: Boyne Mountain Airport
BYT|Bantry, Ireland: Bantry Airport
BYU|Bayreuth, Germany: Bayreuth Airport
BYW|Blakely Island, WA: Blakely Island Airport
BZA|Bonanza, Nicaragua: Bonanza Airport
BZB|Bazaruto Island, Mz|
BZE|Belize City, Belize: Phillip S.W. Goldson International
BZG|Bydgoszcz, Poland: Bydgoszcz
BZH|Bumi Hills, Zw|
BZI|Balikesir, Turkey: Balikesir Airport
BZK|Briansk, Ru|
BZL|Barisal, Bd|
BZN|Bozeman, MT: Gallatin Field
BZO|Bolzano, Italy: Bolzano Airport
BZR|Beziers, France: Beziers Vias
BZS|Washington Dc, DC: Buzzards Point Sea Plane Base
BZT|Brazoria, Tx|
BZV|Brazzaville, Congo: Maya Maya
BZY|Brasileia, Brazil: Brasileia Airport
BZZ|Brize Norton, United Kingdom: Brize Norton Airport
C01|Camarillo, CA: Camarillo
C02|Bakersfield, CA: Bakersfield Municipal
CA1|Koala Mine, Canada: Koala Mine Airport
CA2|Lake Simcoe, Canada: Lake Simcoe Regional
CA3|Thetford Mines, Canada: Thetford Mines Airport
CA4|Pelee Island, Canada: Pelee Island Airport
CA5|Calgary, Canada: Springbank
CAA|Catacamas, Honduras: Catacamas Airport
CAB|Cabinda, Angola: Cabinda Airport
CAC|Cascavel, Brazil: Cascavel Airport
CAD|Cadillac, MI: Wexford County
CAE|Columbia, SC: Columbia Metropolitan
CAF|Carauari, Brazil: Carauari Airport
CAG|Cagliari, Italy: Cagliari/Elmas
CAH|Ca Mau, Vietnam: Ca Mau Airport
CAI|Cairo, Arab Republic Of Egypt: Cairo Airport
CAJ|Canaima, Venezuela: Canaima Airport
CAK|Akron, OH: Akron-Canton Regional
CAL|Campbeltown, United Kingdom: Machrihanish
CAM|Camiri, Bolivia: Choreti
CAN|Guangzhou, China: Guangzhou Airport
CAP|Cap Haitien, Haiti: Cap Haitien Airport
CAQ|Caucasia, Co|
CAR|Caribou, ME: Caribou Municipal
CAS|Casablanca, Morocco: Anfa
CAT|Cat Island, Bahamas: New Bight
CAW|Campos, Brazil: Bartolomeu Lisandro
CAX|Carlisle, United Kingdom: Carlisle Airport
CAY|Cayenne, French Guiana-France: Rochambeau
CAZ|Cobar, Australia: Cobar Airport
CBA|Corner Bay, AK: Corner Bay Airport
CBB|Cochabamba, Bolivia: Jorge Wilsterman
CBE|Cumberland, MD: Cumberland Municipal
CBF|Council Bluffs, IA: Council Bluffs Municipal
CBG|Cambridge, United Kingdom: Cambridge Airport
CBH|Colomb-Bechar, Algeria: Bechar/Leger
CBI|Cape Barren Island, Au|
CBK|Colby, KS: Murray
CBL|Ciudad Bolivar, Venezuela: Ciudad Bolivar Airport
CBM|Columbus, MS: Columbus Air Force Base
CBO|Cotabato, Philippines: Cotabato Airport
CBQ|Calabar, Nigeria: Calabar Airport
CBR|Canberra, Australia: Canberra Airport
CBT|Catumbela, Ao|
CBV|Coban, Guatemala: Coban Airport
CBW|Campo Mourao, Br|
CBX|Condobolin, Au|
CBY|Canobie, Australia: Canobie Airport
CBZ|Cabin Creek, AK: Cabin Creek Airport
CCC|Cayo Coco, Cuba: Cayo Coco Airport
CCF|Carcassonne, France: Carcassonn
CCH|Chile Chico, Chile: Chile Chico Airport
CCI|Concordia, Brazil: Concordia Airport
CCJ|Calicut, India: Calicut Airport
CCK|Cocos (Keeling) Islands, Cocos Islands-Australia: Cocos Island International
CCM|Crisciuma, Brazil: Criciuma
CCN|Chakcharan, Af|
CCO|Carimagua, Co|
CCP|Concepcion, Chile: Carriel Sur
CCR|Concord, CA: Buchanan Field
CCS|Caracas, Venezuela: Simon Bolivar International
CCU|Calcutta, India: Calcutta Airport
CCV|Cordova, AK: Cordova City
CCX|Caceres, Brazil: Caceres Airport
CCY|Charles City, IA: Charles City Municipal
CCZ|Chub Cay, Bahamas: Chub Cay Airport
CDB|Cold Bay, AK: Cold Bay Airport
CDC|Cedar City, UT: Cedar City Municipal
CDD|Unknown Code Description|
CDF|Cortina D'ampezzo, Italy: Cortina D Ampezzo
CDG|Paris, France: Charles De Gaulle
CDH|Camden, AR: Harrell Field
CDI|Cachoeiro Itapemirim, Br|
CDJ|Conceicao Do Araguaia, Brazil: Conceicao Do Araguaia Airport
CDL|Candle, AK: Candle 2
CDN|Camden, SC: Woodward Field
CDQ|Croydon, Qld., Australia|
CDR|Chadron, NE: Chadron Municipal
CDV|Cordova, AK: Mile 13 Field
CDW|Caldwell, NJ: Caldwell Wright
CEA|Wichita, KS: Cessna Aircraft Field
CEB|Cebu, Philippines: Cebu Airport
CEC|Crescent City, CA: Jack Mcnamara Field
CED|Ceduna, Australia: Ceduna Airport
CEE|Creede, CO: Mineral County Memorial
CEF|Chicopee Falls, MA: Westover Air Force Base
CEG|Chester, United Kingdom: Hawarden
CEH|Chelinda, Mw|
CEI|Chiang Rai, Thailand: Chiang Rai Airport
CEK|Chelyabinsk, Russia (Asian): Balandino
CEL|Cape Eleuthera, Bahamas: Cape Eleuthera Airport
CEM|Central, AK: Central Airport
CEN|Ciudad Obregon, Mexico: Ciudad Obregon Airport
CEO|Waco Kungo, Angola: Waco Kungo Airport
CEP|Concepcion, Bolivia: Concepcion Airport
CEQ|Cannes, France: Mandelieu
CER|Cherbourg, France: Cherbourg/Maupertus
CET|Cholet, France: Le Pontreau
CEU|Clemson, SC: Clemson-Oconee County
CEV|Connersville, IN: Mettel Field
CEW|Crestview, FL: Bob Sikes
CEX|Chena Hot Springs, AK: Chena Hot Springs Airport
CEY|Murray, KY: Murray-Calloway County
CEZ|Cortez, CO: Cortez Montezuma County
CFA|Coffee Point, AK: Coffee Point Airport
CFB|Cabo Frio, Brazil: Cabo Frio International
CFC|Unknown Code Description|
CFE|Clermont-Ferrand, France: Clermont Ferrand/Aulnat
CFG|Cienfuegos, Cuba: Jaime Gonzales
CFN|Donegal, Ie|
CFO|Confreza, Br|
CFQ|Unknown Code Description|
CFR|Caen, France: Caen
CFS|Coff's Harbour, Australia: Coffs Harbour
CFT|Clifton, AZ: Greenlee County
CFU|Corfu, Greece: Kerkira
CFV|Coffeyville, KS: Coffeyville Municipal
CGA|Craig, AK: Craig Sea Plane Base
CGB|Cuiaba, Brazil: Marechal Rondon
CGC|Cape Gloucester, Papua New Guinea: Cape Gloucester Airport
CGD|Changde, Cn|
CGE|Cambridge, MD: Cambridge Dorchester Municipal
CGF|Cleveland, OH: Cuyahoga County
CGH|Sao Paulo, Brazil: Congonhas
CGI|Cape Girardeau, MO: Cape Girardeau Municipal
CGJ|Unknown Code Description|
CGK|Jakarta, Indonesia: Cengkareng International
CGM|Camiguin, Philippines: Camiguin Airport
CGN|Koeln/Bonn, Germany: Koeln/Bonn
CGO|Zhengzhou, China: Zhengzhou Airport
CGP|Chittagong, Bangladesh: Chittagong Airport
CGQ|Changchun, China: Changchun Airport
CGR|Campo Grande, Brazil: Campo Grande Air Base
CGS|College Park, MD: College Park Airport
CGU|Ciudad Guayana, Venezuela: Ciudad Guayana Airport
CGX|Chicago, IL: Meigs Field
CGY|Cagayan, Philippines: Cagayan De Oro
CGZ|Casa Grande, AZ: Casa Grande Municipal
CHA|Chattanooga, TN: Lovell Field
CHC|Christchurch, New Zealand: Christchurch International
CHD|Chandler, AZ: Chandler Municipal
CHE|Caherciveen, Ireland: Caherciveen Reenroe
CHF|Chinhae, South Korea: R 813
CHG|Chaoyang, China: Chaoyang Airport
CHH|Chachapoyas, Pe|
CHI|Chicago, IL: (Metropolitan Area)
CHL|Challis, ID: Challis Airport
CHM|Chimbote, Peru: Chimbote Airport
CHN|Chonju, South Korea: Chonju S. Kor.
CHO|Charlottesville, VA: Charlottesville Albemarle
CHP|Circle Hot Springs, AK: Circle Hot Springs Airport
CHQ|Chania, Greece: Souda
CHR|Chateauroux, France: Chateauroux Airport
CHS|Charleston, SC: Charleston International
CHT|Chatham Island, New Zealand: Chatham Island Airport
CHU|Chuathbaluk, AK: Chuathbaluk Airport
CHW|Chiuchuan, China: Chiuchuan Airport
CHX|Changuinola, Panama Republic: Changuinola 1
CHY|Choiseul, Sb|
CHZ|Chiloquin, OR: Chiloquin State
CIA|Rome, Italy: Ciampino
CIB|Catalina Island, CA: In The Sky
CIC|Chico, CA: Chico Municipal
CID|Cedar Rapids/Iowa City, IA: Cedar Rapids Municipal
CIF|Chifeng, Cn|
CIG|Craig, CO: Craig-Moffat
CIH|Changzhi, China: Changzhi
CIJ|Cobija, Bolivia: Cobija Airport
CIK|Chalkyitsik, AK: Chalkyitsik Airport
CIL|Council, AK: Council 2
CIN|Carroll, IA: Arthur N Neu
CIO|Concepcion, Py|
CIP|Chipata, Zambia: Chipata
CIR|Cairo, IL: Cairo
CIS|Canton Island, Ki|
CIT|North Caicos, Turks and Caicos Islands-UK: No. Caicos Br W Indies
CIU|Sault Ste Marie, MI: Chippewa County International
CIV|Chomley, AK: Chomley Airport
CIW|Canouan, St. Vincent and North Grenadines: Canouan Island
CIX|Chiclayo, Peru: Chiclayo Airport
CIY|Comiso, Italy: Comiso Airport
CIZ|Coari, Br|
CJA|Cajamarca, Peru: Cajamarca Airport
CJB|Coimbatore, India: Coimbatore Airport
CJC|Calama, Chile: El Loa
CJH|Chilko Lake, Ca|
CJI|Crafton Island, AK: Crafton Island Airport
CJJ|Cheong Ju City, Kr|
CJK|Chinju, South Korea: Sachon
CJL|Chitral, Pakistan: Chitral Airport
CJM|Unknown Code Description|
CJS|Ciudad Juarez, Mexico: Ciudad Juarez International
CJT|Unknown Code Description|
CJU|Cheju, South Korea: Cheju International
CJW|Clay Center, KS: Clay Center Municipal
CKB|Clarksburg/Fairmont, WV: Benedum
CKD|Crooked Creek, AK: Crooked Creek Airport
CKE|Clear Lake, CA: Pearce Field
CKG|Chongqing, China: Chongqing Airport
CKI|Croker Island, Au|
CKL|Chkalovsky, Ru|
CKM|Clarksdale, MS: Fletcher Field
CKO|Cornelio Procopio, Brazil: Cornelio Procopio Airport
CKS|Carajas, Brazil: Carajas
CKU|Cordova, AK: Cordova City
CKV|Clarksvle/Ft.Cam/Hopksvle, TN: Outlaw Field
CKX|Chicken, AK: Chicken Airport
CKY|Conakry, Guinea: Conakry Airport
CKZ|Canakkale, Tr|
CLA|Comilla, Bangladesh: Comilla Airport
CLB|Castlebar, Ireland: Castlebar Airport
CLC|Clear Lake City, TX: Clear Lake Metroport
CLD|Carlsbad, CA: Palomar
CLE|Cleveland, OH: Hopkins International
CLF|Clear, AK: Clear Mews
CLG|Coalinga, CA: Coalinga Municipal
CLH|Coolah, Australia: Coolah Airport
CLI|Clintonville, WI: Clintonville Municipal
CLJ|Cluj-Napoca, Romania: Cluj-Napoca Airport
CLK|Clinton, OK: Clinton Municipal
CLL|College Station/Bryan, TX: Easterwood Field
CLM|Port Angeles, WA: William R Fairchild
CLN|Carolina, Brazil: Carolina Airport
CLO|Cali, Colombia: Palmaseca
CLP|Clarks Point, AK: Clarks Point Airport
CLQ|Colima, Mexico: Colima
CLR|Calipatria, CA: Calipatria Airport
CLS|Chehalis, WA: Chehalis Centralia
CLT|Charlotte, NC: Charlotte Douglas International
CLU|Columbus, IN: Columbus Municipal
CLV|Caldas Novas, Br|
CLY|Calvi, France: Calvi/Ste Catherine
CMA|Cunnamulla, Australia: Cunnamulla Airport
CMB|Colombo, Sri Lanka: Bandaranayake International
CMD|Cootamundra, Australia: Cootamundra
CME|Ciudad Del Carmen, Mexico: Ciudad Del Carmen Airport
CMF|Chambery, France: Chambry/Aix Les Bains
CMG|Corumba, Brazil: Corumba Airport
CMH|Columbus, OH: Columbus International
CMI|Champaign/Urbana, IL: University Of Illinois/Willard
CMJ|Chi Mei, Taiwan: Chi Mei Airport
CMK|Makokola, Mw|
CMM|Carmelita, Guatemala: Carmelita Airport
CMN|Casablanca, Morocco: Mohamed V
CMP|Santana Do Araguaia, Br|
CMQ|Clermont, Au|
CMR|Colmar, France: Colmar/Houssen
CMT|Cameta, Brazil: Cameta Airport
CMU|Kundiawa, Papua New Guinea: Chimbu
CMV|Coromandel, New Zealand: Coromandel Airport
CMW|Camaguey, Cuba: Ignacio Agramonte
CMX|Hancock/Houghton, MI: Houghton County Memorial
CNA|Cananea, Mexico: Cananea
CNB|Coonamble, Australia: Coonamble Airport
CNC|Coconut Island, Australia: Coconut Island Airport
CND|Constanta, Romania: Rum   Kogalniceanu
CNE|Canon City, CO: Fremont County
CNF|Belo Horizonte, Brazil: Confins
CNJ|Cloncurry, Au|
CNK|Concordia, KS: Blosser Municipal
CNL|Sindal, Denmark: Sindal
CNM|Carlsbad, NM: Cavern City Air Terminal
CNO|Chino, CA: Chino
CNP|Eastgreenland, Gl|
CNQ|Corrientes, Argentina: Corrientes Airport
CNR|Chanaral, Chile: Chanaral Airport
CNS|Cairns, Australia: Cairns Airport
CNW|Waco, TX: James Connally
CNX|Chiang Mai, Thailand: Chiang Mai International
CNY|Moab, UT: Canyonlands
CO3|Marina, CA: Marina Municipal
CO4|Melgar, Colombia: Tolemaida Ab
COA|Columbia, CA: Columbia Airport
COC|Concordia, Argentina: Concordia/C J Pierrestegui
COD|Cody, WY: E.E.Faust Regional
COE|Coeur D'alene, ID: Coeur D Alene Air Term
COF|Cocoa Beach, FL: Patrick Air Force Base
COG|Condoto, Colombia: Mandinga
COH|Cooch Behar, India: Cooch Behar Airport
COJ|Coonabarabran, Australia: Coonabarabran
COK|Cochin, India: Cochin Airport
COL|Coll Island, United Kingdom: Coll/Ballard
COM|Coleman, TX: Coleman Municipal
CON|Concord, NH: Concord Municipal
COO|Cotonou, Benin (Dahomey): Cotonou Airport
COQ|Unknown Code Description|
COR|Cordoba, Argentina: Cordoba Airport
COS|Colorado Springs, CO: Peterson Field
COT|Cotulla, TX: Cotulla La Salle County
COU|Columbia/Jefferson City, MO: Columbia Regional
COY|Coolawanyah, Australia: Coolawanyah Airport
CPA|Cape Palmas, Liberia: Cape Palmas Airport
CPB|Capurgana, Colombia: Capurgana Airport
CPC|Chapelco, Argentina: Chapelco Airport
CPD|Coober Pedy, Australia: Coober Pedy Airport
CPE|Campeche, Mexico: Campeche Airport
CPH|Copenhagen, Denmark: Copenhagen
CPI|Cape Orford, Pg|
CPN|Cape Rodney, Papua New Guinea: Cape Rodney Airport
CPO|Copiapo, Chile: Desierto De Atacama
CPQ|Campinas, Brazil: Viracopos
CPR|Casper, WY: Natrona County International
CPS|St. Louis, MO: Bi-State Parks
CPT|Capetown, Republic Of South Africa: D F Malan
CPU|Cururupu, Brazil|
CPV|Campina Grande, Brazil: Campina Grande Airport
CPX|Culebra, PR: Culebra Airport
CQA|Canarana, Br|
CQD|Unknown Code Description|
CQF|Calais, France: Calais/Marck
CQL|Carbondale, CO: Glen.Aspen County
CQQ|Crato, Brazil: Crato Airport
CQS|Costa Marques, Br|
CQW|Cheraw, SC: Cheraw Municipal
CRA|Craiova, Romania: Craioya
CRB|Collarenebri, Australia: Collarenebri Airport
CRC|Cartago, Colombia: Cartago Airport
CRD|Comodoro Rivadavia, Argentina: Comodoro Rivadavia Airport
CRE|Myrtle Beach, SC: Grand Strand
CRF|Carnot, Cf|
CRG|Jacksonville, FL: Craig Municipal
CRI|Crooked Island, Bahamas: Crooked Island Airport
CRK|Luzon Island, Philippines: Clark Ab
CRL|Charleroi, Belgium: Gosselies
CRM|Unknown Code Description|
CRP|Corpus Christi, TX: Corpus Christi International
CRQ|Caravelas, Brazil: Caravelas Airport
CRR|Ceres, Argentina: Ceres Airport
CRS|Corsicana, TX: C David Campbell Field
CRU|Carriacou, Grenada and South Grenadines: Carriacou Airport
CRV|Crotone, Italy: Crotone Airport
CRW|Charleston/Dunbar, WV: Kanawha
CRX|Corinth, MS: Roscoe Turner
CRZ|Charjew, Tm|
CSD|Cresswell Downs, Australia: Cresswell Downs Airport
CSE|Crested Butte, CO: Crested Butte Airport
CSG|Columbus, GA: Columbus Metropolitan
CSH|Cape Sarichef, AK: Cape Sarichef Afs
CSI|Casino, Australia: Casino Airport
CSK|Cap Skirring, Sn|
CSM|Clinton, OK: Sherman
CSN|Carson City, NV: Carson City Nv
CSO|Montevideo, Uruguay: Carrasco
CSP|Cape Spencer, Ak|
CSR|Casuarito, Colombia: Casuarito Airport
CSS|Cassilandia, Brazil: Cassilandia Airport
CST|Castaway, Fiji Islands: Castaway Airport
CSU|Cape Sabine, AK: Cape Sabine Airport
CSV|Crossville, TN: Crossville Memorial
CSX|Changsha, China: Changsha Airport
CSY|Cheboksary, Ru|
CSZ|Unknown Code Description|
CTA|Catania, Italy: Catania/Sigonella
CTB|Cut Bank, MT: Cut Bank Municipal
CTC|Catamarca, Argentina: Catamarca Aeroclub
CTD|Chitre, Pa|
CTG|Cartagena, Colombia: Rafael Nunez
CTH|Coatesville, PA: Chester County
CTL|Charleville, Australia: Charleville Airport
CTM|Chetumal, Mexico: Chetumal 1
CTN|Cooktown, Australia: Cooktown
CTO|Calverton, NY: Peconic River
CTQ|Santa Vitoria, Br|
CTS|Sapporo, Japan: Chitose Ab
CTT|Le Castellet, France: Le Castellet
CTU|Chengdu, China: Chengdu Airport
CTW|Cottonwood, AZ: Cottonwood Airport
CTX|Cortland, NY: Cortland County Chase Field
CTY|Cross City, FL: Cross City Airport
CUB|Columbia, SC: Owens Field
CUC|Cucuta, Colombia: Camilo Daza
CUE|Cuenca, Ecuador: Cuenca
CUF|Cuneo, It|
CUG|Orange, Au|
CUJ|Culion, Ph|
CUK|Caye Caulker, Bz|
CUL|Culiacan, Mexico: Culiacan New
CUM|Cumana, Venezuela: Cumana Airport
CUN|Can Cun, Mexico: Can Cun International
CUP|Carupano, Venezuela: Carupano Airport
CUQ|Coen, Australia: Coen Airport
CUR|Curacao, Netherlands Antilles: Hato
CUT|Cutral, Argentina: Cutral County
CUU|Chihuahua, Mexico: Mex   International
CUW|Cube Cove, AK: Cube Cove Airport
CUY|Cue, Australia: Cue Airport
CUZ|Cuzco, Peru: Peru  Velazco Astete
CVA|Pittsburgh, PA: Civic Arena H/P
CVB|Chungribu, Pg|
CVC|Cleve, Au|
CVF|Courchevel, France: Courchevel Airport
CVG|Cincinnati, OH: Cincinnati/ Northern Kentucky International
CVJ|Cuernavaca, Mexico: Cuernavaca Airport
CVL|Cape Vogel, Papua New Guinea: Cape Vogel Airport
CVM|Ciudad Victoria, Mexico: Ciudad Victoria Airport
CVN|Clovis, NM: Clovis Municipal
CVO|Albany/Corvallis, OR: Corvallis/Albany Municipal
CVQ|Carnarvon, Australia: Carnarvon Airport
CVS|Clovis, NM: Cannon Air Force Base
CVT|Coventry, United Kingdom: Coventry Airport
CVU|Corvo Island, Pt|
CVX|Charlevoix, MI: Charlevoix Airport
CWA|Wausau/Marshfield, WI: Central Wisconsin
CWB|Curitiba, Brazil: Afonso Pena
CWC|Chernovtsy, Ua|
CWG|Callaway Gardens, GA: Callaway Gardens Ga
CWI|Clinton, IA: Clinton Municipal
CWL|Cardiff, United Kingdom: Cardiff Airport
CWS|Center Island, Wa|
CWT|Cowra, Australia: Cowra Airport
CXA|Caicara, Venezuela: Caicara Venez.
CXB|Cox's Bazar, Bangladesh: Cox's Bazar Airport
CXC|Chitina, AK: Chitina Airport
CXF|Coldfoot, AK: Coldfoot Airport
CXH|Coal Harbour Sea Plane Base, Canada: Coal Harbour
CXI|Christmas Island, Kiribati (Gilbert and Canton Islands): Christmas Island Airport
CXJ|Caxias Do Sul, Brazil: Campo Dos Bugres
CXL|Calexico, CA: Calexico International
CXO|Conroe, TX: Montgomery County
CXP|Cilacap, Indonesia: Tunggul Wulung
CXQ|Christmas Creek, Australia: Christmas Creek Airport
CXT|Charters Towers, Australia: Charters Towers Airport
CXY|Cat Cay, Bahamas: Cat Cay Airport
CYA|Les Cayes, Haiti: Cayes
CYB|Cayman Brac, Cayman Islands: Gerrard Smith
CYC|Caye Chapel, Belize: Caye Chapel Airport
CYF|Chifornak, AK: Chifornak Airport
CYH,Springerville: Springerville-Eager Muni Arpt
CYI|Chiayi, Taiwan: Chiayi Airport
CYM|Chatham, AK: Chatham Airport
CYO|Cayo Largo Del Sur, Cu|
CYP|Calbayog, Philippines: Calbayog Airport
CYR|Colonia, Uruguay: Colonia Airport
CYS|Cheyenne, WY: Cheyenne Municipal
CYT|Cape Yakataga, AK: Yakataga
CYU|Cuyo, Ph|
CYZ|Cauayan, Philippines: Cauayan Airport
CZA|Chichen Itza, Mexico: Chichen Itza Airport
CZB|Cruz Alta, Brazil: Cruz Alta Airport
CZC|Copper Centre, Ak|
CZD|Codazzi, Colombia: Codazzi
CZE|Coro, Venezuela: Coro Airport
CZF|Cape Romanzof, AK: Cape Romanzof Afs
CZH|Corozal, Belize: Corozal Municipal
CZL|Constantine, Algeria: Constantine/Ain El Bey
CZM|Cozumel, Mexico: Cozumel Airport
CZN|Chisana, AK: Chisana Airport
CZO|Chistochina, Ak|
CZP|Cape Pole, AK: Cape Pole Airport
CZS|Cruzeiro Do Sul, Brazil: Cruzeiro Do Sul Airport
CZU|Corozal, Colombia: Las Brujas
CZX|Changzhou, China: Changzhou Airport
DAB|Daytona Beach, FL: Daytona Beach Regional
DAC|Dhaka, Bangladesh: Zia International
DAD|Danang, Vietnam: Danang Airport
DAE|Daet, Philippines: Daet Airport
DAF|Daup, Papua New Guinea: Daup Airport
DAG|Daggett, CA: Barstow/Daggett
DAI|Darjeeling, India: Darjeeling Airport
DAK|Dakhla Oasis, Arab Republic Of Egypt: Dakhla
DAL|Dallas, TX: Dallas Love Field
DAM|Damascus, Syrian Arab Republic: Mezze
DAN|Danville, VA: Danville Municipal
DAR|Dar Es Salaam, Tanzania: Dar Es Salaam Airport
DAT|Datong, China: Datong Airport
DAU|Daru, Papua New Guinea: Daru Airport
DAV|David, Panama Republic: Enrique Malek
DAX|Daxian, China: Daxian Airport
DAY|Dayton, OH: James M Cox/Dayton International
DBA|Damba, Angola: Damba Airport
DBB|Dabaa City, Arab Republic Of Egypt: Dabaa City Airport
DBL|Dabolim, India: Goa
DBM|Debra Marcos, Ethiopia: Debre Marcos
DBN|Dublin, GA: W H Bud Barron
DBO|Dubbo, Australia: Dubbo Airport
DBP|Debepare, Pg|
DBQ|Dubuque, IA: Dubuque Municipal
DBT|Debra Tabor, Ethiopia: Debre Tabor
DBV|Dubrovnik, Croatia: Dubrovnik Airport
DBY|Dalby, Australia: Dalby Airport
DCA|Washington, DC: Ronald Reagan Washington National
DCF|Cane Field, Dominica: Cane Field Airport
DCK|Dahl Creek, AK: Dahl Creek Airport
DCM|Castres, Fr|
DCS|Doncaster, United Kingdom: Finningley
DCU|Decatur, AL: Pryor Field
DDC|Dodge City, KS: Dodge City Municipal
DDG|Dandong, Cn|
DDI|Daydream Island, Au|
DDM|Dodoima, Pg|
DDP|Dorado, PR: Dorado Airport
DE1|Zweibrucken, Germany: Zweibrucken
DEA|Dera Ghazi Khan, Pakistan: Dera Ghazi Khan Airport
DEB|Debrecen, Hungary: Debrecen Airport
DEC|Decatur, IL: Decatur Airport
DED|Unknown Code Description|
DEH|Decorah, IA: Decorah Municipal
DEI|Denis Island, Sc|
DEL|Delhi, India: Delhi Airport
DEM|Dembidollo, Ethiopia: Dembidollo Airport
DEN|Denver, CO: Denver International
DEP|Deparizo, In|
DER|Derim, Pg|
DES|Desroches, Seychelles Islands: Desroches Airport
DET|Detroit, MI: Detroit City
DEZ|Deir Ezzor, Syrian Arab Republic: Al Jafrah/Deir Ezzor
DFI|Defiance, OH: Defiance Memorial
DFW|Dallas/Ft.Worth, TX: Dallas/Ft Worth International
DGA|Dangriga, Bz|
DGB|Danger Bay, AK: Danger Bay Airport
DGD|Unknown Code Description|
DGE|Mudgee, Au|
DGF|Douglas Lake, Ca|
DGJ|Deep Bay, AK: Deep Bay
DGO|Durango, Mexico: Countylo  Durango La Plata County
DGT|Dumaguete, Philippines: Dumaguete Airport
DGW|Douglas, WY: Converse County
DHA|Dhahran, Saudi Arabia: Dhahran Airport
DHF|Abu Dhabi, United Arab Emirates: Al Dhafra
DHI|Dhangarhi, Nepal: Dhangari Nepal
DHL|Dhala, Yemen: Dhala Airport
DHN|Dothan, AL: Dothan Regional
DHT|Dalhart, TX: Dalhart Municipal
DIA|Denver, CO: Denver International
DIB|Dibrugarh, India: Dibrugarh (Mohanbari)
DIE|Antsiranana, Madagascar: Antsiranana/Arrachart
DIG|Diqing, China: Diqing Airport
DIJ|Dijon, France: Longvic
DIK|Dickinson, ND: Dickinson Municipal
DIL|Dili, East Timor-Indonesia: Presidente Nicolau Lobato International
DIN|Dien Bien Phu, Vn|
DIO|Diomede Island, AK: Little Diomede
DIQ|Divinopolis, Br|
DIR|Dire Dawa, Ethiopia: Aba Tenna Dejazmatch Yilma
DIS|Loubomo, Congo: Dolisie
DIU|Diu, India: Diu Airport
DIV|Divo, Cote d Ivoire (formerly Ivory Coast): Divo Airport
DIY|Diyarbakir, Turkey: Diyarbakir Airport
DJB|Jambi, Indonesia: Paalmerah
DJE|Djerba, Tunisia: Jerba/Mellita
DJG|Djanet, Algeria: Djanet Airport
DJJ|Jayapura, Indonesia: Djapura
DJN|Delta Junction, AK: Delta Junction
DJO|Daloa, Cote d Ivoire (formerly Ivory Coast): Daloa
DK1|Kolding Vamdrup, Denmark: Kolding Vamdrup Airport
DKI|Dunk Island, Australia: Kyboola
DKK|Dunkirk, NY: Dunkirk Airport
DKR|Dakar, Senegal: Dakar/Yoff
DLA|Douala, Cameroons: Douala Airport
DLC|Dalian, China: Dalian Airport
DLD|Geilo, No|
DLE|Dole, Fr|
DLF|Del Rio, TX: Laughlin Air Force Base
DLG|Dillingham, AK: Dillingham Airport
DLH|Duluth, MN: Duluth International
DLI|Dalat, Vietnam: Lienkhang
DLL|Dillon, SC: Dillon County
DLM|Dalaman, Turkey: Dalaman Airport
DLO|Dolomite, AK: Dolomi
DLS|The Dalles, OR: The Dalles Municipal
DLU|Dali City, China: Dali City Airport
DLY|Dillons Bay, Vu|
DLZ|Unknown Code Description|
DMA|Tucson, AZ: Davis Monthan Air Force Base
DMB|Dzhambul, Kz|
DMC|Deadmans Cay: Deadmans Cay,long Island
