#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
93.566,Refugee and Entrant Assistance_State Administered Programs,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/6/2010 15:32,1/1/1992 0:00
93.567,Refugee and Entrant Assistance_Voluntary Agency Programs,Department of Health and Human Services / Administration for Children and Families,B - Cooperative Agreements,7/8/2010 8:49,1/1/1992 0:00
93.568,Low-Income Home Energy Assistance,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/12/2010 8:35,1/1/1992 0:00
93.575,Child Care and Development Block Grant,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/9/2010 12:14,1/1/1992 0:00
93.576,Refugee and Entrant Assistance_Discretionary Grants,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/6/2010 15:33,1/1/1992 0:00
93.579,U.S. Repatriation,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/6/2010 15:34,1/1/1992 0:00
93.583,Refugee and Entrant Assistance_Wilson/Fish Program,Department of Health and Human Services / Administration for Children and Families,B - Cooperative Agreements,7/7/2010 7:42,1/1/1994 0:00
93.584,Refugee and Entrant Assistance_Targeted Assistance Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/15/2010 7:50,1/1/1994 0:00
93.586,State Court Improvement Program,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/15/2010 7:50,1/1/1994 0:00
93.587,Promote the Survival and Continuing Vitality of Native American Languages,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/6/2010 15:38,1/1/1994 0:00
93.590,Community-Based Child Abuse Prevention Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/2/2010 7:21,1/1/1995 0:00
93.591,Family Violence Prevention and Services/Grants For Battered Women's Shelters_Grants to State Domestic Violence Coalitions,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:02,1/1/1995 0:00
93.592,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Discretionary Grants,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:02,1/1/1995 0:00
93.593,Job Opportunities for Low-Income Individuals,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:03,1/1/1995 0:00
93.594,Tribal Work Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:03,1/1/1997 0:00
93.595,"Welfare Reform Research, Evaluations and National Studies",Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/2/2010 7:21,1/1/1997 0:00
93.596,Child Care Mandatory and Matching Funds of the Child Care and Development Fund,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:03,1/1/1997 0:00
93.597,Grants to States for Access and Visitation Programs,Department of Health and Human Services / Administration for Children and Families,B - Project Grants,7/18/2010 23:04,1/1/1997 0:00
93.600,Head Start,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/12/2010 8:36,1/1/1990 0:00
93.602,Assets for Independence Demonstration Program,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/7/2010 7:43,1/1/1999 0:00
93.604,Assistance for Torture Victims,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/2/2010 7:19,1/1/2000 0:00
93.605,Family Connection Grants,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/7/2010 7:44,1/1/2008 0:00
93.612,Native American Programs,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:04,1/1/1990 0:00
93.613,President's Committee for People with Intellectual Disabilities (PCPID),Department of Health and Human Services / Administration for Children and Families,L - Information,7/7/2010 7:51,1/1/1990 0:00
93.617,Voting Access for Individuals with Disabilities_Grants to States,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,6/23/2010 7:47,1/1/2003 0:00
93.623,Basic Center Grant,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:05,1/1/1990 0:00
93.630,Developmental Disabilities Basic Support and Advocacy Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/1/2010 12:15,1/1/1990 0:00
93.631,Developmental Disabilities Projects of National Significance,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/1/2010 12:17,1/1/1990 0:00
93.632,"University Centers for Excellence in Developmental Disabilities Education, Research, and Service",Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/1/2010 15:35,1/1/1990 0:00
93.643,Children's Justice Grants to States,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:05,1/1/1990 0:00
93.645,Child Welfare Services_State Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/7/2010 7:52,1/1/1990 0:00
93.647,Social Services Research and Demonstration,Department of Health and Human Services / Administration for Children and Families,B - Project Grants,7/1/2010 12:16,1/1/1990 0:00
93.648,Child Welfare Research Training or Demonstration,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:06,1/1/1990 0:00
93.652,Adoption Opportunities,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/7/2010 7:52,1/1/1990 0:00
93.658,Foster Care_Title IV-E,Department of Health and Human Services / Administration for Children and Families,"A - Formula Grants, B - Project Grants",7/18/2010 23:06,1/1/1990 0:00
93.659,Adoption Assistance,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:07,1/1/1990 0:00
93.667,Social Services Block Grant,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:07,1/1/1990 0:00
93.669,Child Abuse and Neglect State Grants,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:07,1/1/1990 0:00
93.670,Child Abuse and Neglect Discretionary Activities,Department of Health and Human Services / Administration for Children and Families,B - PROJECT GRANTS,7/18/2010 23:08,1/1/1990 0:00
93.671,Family Violence Prevention and Services/Grants for Battered Women's Shelters_Grants to States and Indian Tribes,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:08,1/1/1990 0:00
93.674,Chafee Foster Care Independence Program,Department of Health and Human Services / Administration for Children and Families,A - FORMULA GRANTS,7/18/2010 23:09,1/1/1990 0:00
93.676,Unaccompanied Alien Children Program,Department of Health and Human Services / Administration for Children and Families,B - Project Grants (Cooperative Agreements or Contracts),7/15/2010 7:51,1/1/2003 0:00
93.705,Aging Home-Delivered Nutrition Services for States,Department of Health and Human Services / Administration on Aging,A - Formula Grants,8/9/2010 8:14,5/22/2009 9:42
93.706,Aging Nutrition Services for Native Americans,Department of Health and Human Services / Administration on Aging,B - Project Grants,8/13/2010 7:53,5/22/2009 9:42
93.707,Aging Congregate Nutrition Services for States,Department of Health and Human Services / Administration on Aging,A - Formula Grants,8/9/2010 8:14,5/22/2009 9:42
93.710,ARRA - Community Services Block Grant,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,7/12/2010 10:04,5/26/2009 15:39
93.711,ARRA –  Strengthening Communities Fund,Department of Health and Human Services / Administration for Children and Families,B - Cooperative Agreements,8/11/2010 7:58,5/26/2009 15:39
93.713,ARRA – Child Care and Development Block Grant,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,7/18/2010 23:09,5/26/2009 15:39
93.714,ARRA – Emergency Contingency Fund for Temporary Assistance for Needy Families (TANF) State Program,Department of Health and Human Services / Administration for Children and Families,A - Formula Grants,7/18/2010 23:10,5/26/2009 15:39
93.773,Medicare_Hospital Insurance,Department of Health and Human Services / Centers for Medicare and Medicaid Services,C - DIRECT PAYMENTS FOR A SPECIFIED USE,12/27/2010 12:47,1/1/1990 0:00
93.774,Medicare_Supplementary Medical Insurance,Department of Health and Human Services / Centers for Medicare and Medicaid Services,C - DIRECT PAYMENTS FOR A SPECIFIED USE,7/22/2010 7:45,1/1/1990 0:00
93.775,State Medicaid Fraud Control Units,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - FORMULA GRANTS,8/25/2010 7:45,1/1/1990 0:00
93.778,Medical Assistance Program,Department of Health and Human Services / Centers for Medicare and Medicaid Services,A - FORMULA GRANTS,6/24/2010 15:52,1/1/1990 0:00
93.779,"Centers for Medicare and Medicaid Services (CMS) Research, Demonstrations and Evaluations",Department of Health and Human Services / Centers for Medicare and Medicaid Services,B - PROJECT GRANTS,9/21/2010 11:27,1/1/1990 0:00
93.824,Area Health Education Centers Infrastructure Development Awards,Department of Health and Human Services / Health Resources and Services Administration,B - Cooperative Agreements,9/16/2010 11:15,1/1/1990 0:00
93.865,Child Health and Human Development Extramural Research,Department of Health and Human Services / National Institutes of Health,B - PROJECT GRANTS,7/15/2010 11:45,1/1/1990 0:00
93.910,Family and Community Violence Prevention Program,Department of Health and Human Services / Office of Minority Health,B - PROJECT GRANTS,10/1/2010 8:23,1/1/1990 0:00
93.914,HIV Emergency Relief Project Grants,Department of Health and Human Services / Health Resources and Services Administration,B - PROJECT GRANTS,9/16/2010 11:15,1/1/1991 0:00
93.924,Ryan White HIV/AIDS Dental Reimbursements Community Based Dental Partnership,Department of Health and Human Services / Health Resources and Services Administration,"B - PROJECT GRANTS, C - Direct Payments for Specified Use",7/12/2010 10:08,1/1/1991 0:00
93.974,Family Planning_Service Delivery Improvement Research Grants,Department of Health and Human Services / Office of Population Affairs,B - PROJECT GRANTS,10/1/2010 8:24,1/1/1990 0:00
93.977,Preventive Health Services_Sexually Transmitted Diseases Control Grants,Department of Health and Human Services / Centers for Disease Control and Prevention,B - PROJECT GRANTS,9/22/2010 7:31,1/1/1990 0:00
93.982,Mental Health Disaster Assistance and Emergency Mental Health,Department of Health and Human Services / Substance Abuse and Mental Health Services Administration,B - PROJECT GRANTS,9/19/2010 20:45,1/1/1990 0:00
93.995,Adolescent Family Life_Demonstration Projects,Department of Health and Human Services / Office of Population Affairs,B - PROJECT GRANTS,9/29/2010 7:57,1/1/1990 0:00
94.002,Retired and Senior Volunteer Program,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:32,1/1/1995 0:00
94.011,Foster Grandparent Program,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:33,1/1/1995 0:00
94.013,Volunteers in Service to America,Corporation for National and Community Service,J - Provision of Specialized Services,12/20/2009 17:34,1/1/1995 0:00
94.016,Senior Companion Program,Corporation for National and Community Service,B - PROJECT GRANTS,12/20/2009 17:34,1/1/1995 0:00
94.017,Senior Demonstration Program,Corporation for National and Community Service,B - Project Grants,12/13/2009 7:36,12/13/2009 7:36
94.019,Social Innovation Fund,Corporation for National and Community Service,B - Cooperative Agreements,8/23/2010 10:32,1/28/2010 7:44
96.001,Social Security_Disability Insurance,Social Security Administration,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",10/15/2008 0:00,1/1/1995 0:00
96.002,Social Security_Retirement Insurance,Social Security Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,9/16/2008 0:00,1/1/1995 0:00
96.004,Social Security_Survivors Insurance,Social Security Administration,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",9/16/2008 0:00,1/1/1995 0:00
96.006,Supplemental Security Income,Social Security Administration,"C - DIRECT PAYMENTS FOR A SPECIFIED USE, D - DIRECT PAYMENTS WITH UNRESTRICTED USE",10/23/2008 0:00,1/1/1995 0:00
96.007,Social Security_Research and Demonstration,Social Security Administration,B - PROJECT GRANTS,10/23/2008 0:00,1/1/1995 0:00
96.008,Social Security - Work Incentives Planning and Assistance Program,Social Security Administration,B - PROJECT GRANTS,9/17/2008 0:00,1/1/2000 0:00
96.009,Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries,Social Security Administration,B - PROJECT GRANTS,9/17/2008 0:00,1/1/2002 0:00
96.020,Special Benefits for Certain World War II Veterans,Social Security Administration,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,11/7/2008 0:00,1/1/2000 0:00
96.021,Social Security Economic Recovery Act Payments,Social Security Administration,D - Direct Payments with Unrestricted Use,10/8/2009 7:51,10/8/2009 7:51
97.009,Cuban/Haitian Entrant  Program,Department of Homeland Security,B - Cooperative Agreements,9/21/2010 13:08,1/1/2003 0:00
97.010,Citizenship Education and Training,Department of Homeland Security,"B - Cooperative Agreements, B - Project Grants (Contracts)",9/21/2010 12:10,1/1/2003 0:00
97.048,Federal Disaster Assistance to Individuals and Households in Presidential Declared Disaster Areas,Department of Homeland Security,"B - PROJECT GRANTS, C - Direct Payments for Specified Use",6/23/2010 7:54,1/1/2003 0:00
97.049,Presidential Declared Disaster Assistance - Disaster Housing Operations for Individuals and Households,Department of Homeland Security,C - DIRECT PAYMENTS FOR A SPECIFIED USE,6/23/2010 7:54,1/1/2003 0:00
97.050,Presidential Declared Disaster Assistance to Individuals and Households - Other Needs,Department of Homeland Security,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/5/2010 7:52,1/1/2003 0:00
