JCT Title,Budget Function,JCT Estimate Year Range,Description
Build America bonds ,Community and regional development,2009-2014,"<p>In the 111th Congress, the American Recovery and Reinvestment Act (P.L. 111-5, ARRA) created a new type of tax credit bond, the Build America Bond, which allows issuers the option of receiving a direct payment from the U.S. Treasury or tax credits for investors instead of tax-exempt interest payments.</p> 

<p>Build America Bonds are not targeted in their designation as are other tax credit bonds (TCBs, such as qualified zone academy bonds, qualified school construction bonds, and clean renewable energy bonds). The volume is not limited and the purpose is constrained only by the requirement that the interest on such obligation would (but for this section) be excludible from gross income under section 103. Thus, Build America Bonds can be issued for any purpose that would have been eligible for traditional tax-exempt bond financing other than private activity bonds. The bonds must be issued before January 1, 2011.</p><p>This tax expenditure corresponds with the Treasury tax expenditure ""Build America Bonds"" found in the General Purpose Fiscal Assistance Budget Function and available <a href="""">LINK HERE</a>.</p>
"
Credit for Indian reservation employment,Community and regional development,2004-2014,"<p>Businesses on Indian reservations are eligible for a credit for 20 percent of the cost of the first $20,000 of wages (and health benefits) paid by the employer to tribal members and their spouses, in excess of eligible qualified wages and  health insurance cost payments made in 1993. These benefits are available for wages paid before December 31, 2007.</p>
"
Gulf opportunity zone,Community and regional development,2008-2014,"<p>Following Hurricane Katrina, the Katrina Emergency Tax Relief Act of 2005 (KETRA; P.L. 109-73) provided tax relief to individuals and businesses affected by the disaster. This was followed by the Gulf Opportunity Zone Act of 2005 (GOZA; P.L. 109-135),which established the Gulf Opportunity (GO) Zone in order to provide relief to those affected by Hurricanes Rita and Wilma and assist in economic recovery. KETRA and GOZA included provisions which allowed individuals to deduct housing and insurance related recovery expenditures from gross income and provided tax credits to employers to encourage them to resume operations and retain employees. KETRA and GOZA also included other business related provisions, which allow for bonus depreciation, expensing of certain property, and a 5-year carry back of net operating losses. Other provisions increased the rehabilitation credit for historic property and expanded the number of tax-exempt bonds.</p>"
Kansas disaster relief,Community and regional development,2008-2012,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
Katrina emergency act,Community and regional development,2008-2012,"<p>Following Hurricane Katrina, the Katrina Emergency Tax Relief Act of 2005 (KETRA; P.L. 109-73) provided tax relief to individuals and businesses affected by the disaster. This was followed by the Gulf Opportunity Zone Act of 2005 (GOZA; P.L. 109-135),which established the Gulf Opportunity (GO) Zone in order to provide relief to those affected by Hurricanes Rita and Wilma and assist in economic recovery. KETRA and GOZA included provisions which allowed individuals to deduct housing and insurance related recovery expenditures from gross income and provided tax credits to employers to encourage them to resume operations and retain employees. KETRA and GOZA also included other business related provisions, which allow for bonus depreciation, expensing of certain property, and a 5-year carry back of net operating losses. Other provisions increased the rehabilitation credit for historic property and expanded the number of tax-exempt bonds. </p>"
Midwest disaster relief,Community and regional development,2008-2014,"<p>The provisions for the Midwestern disaster area are applicable to the floods, severe storms, and tornadoes declared from May 20, 2008 through August 1, 2008. The Emergency Economic Stabilization Act included tax relief for victims of the Midwestern disasters and Hurricane Ike. EESA also extended the Work Opportunity Tax Credit (WOTC), originally included KETRA for Hurricane Katrina employees. The WOTC allows businesses to claim a credit for qualified wages for employees retained in the Katrina, Rita, and Wilma zone areas, during the period a business is inoperable.</p>"
National disaster relief,Community and regional development,2008-2014,"<p>The Emergency Economic Stabilization Act of 2008 (EESA; P.L. 110-343) includes National disaster relief for all disasters occurring between December 31, 2007 and January 1, 2010. The EESA provisions allow: (1) an additional itemized deduction beyond the $500 per casualty threshold; (2) disaster victims to deduct immediately demolition and repair expenses as well as environmental remediation; and (3) five-year carry back of net operating losses attributable to disasters. EESA also allows the issuance of tax-exempt mortgage revenue bonds to finance low-interest loans to taxpayers in declared disaster areas whose principal residence was damaged by a disaster. Two additional provisions directed to business investment allow for special bonus depreciation and expensing of property.</p>"
District of Columbia tax incentives,Community and regional development,2000-2014,"<p>In 1997 several tax incentives for the District of Columbia were adopted: a wage tax credit of $3,000 per employee for wages paid to a District resident, tax-exempt bond financing, and additional first-year expensing of equipment. These apply to areas with poverty rates of 20 percent or more. There is also a zero capital gains rate for business sales in areas with 10 percent poverty rates. Those provisions were originally available through December 31, 2007 and subsequently extended through 2009 by the Emergency Economic Stabilization Act of 2008 (P.L. 110-343). (A credit for first-time home buyers adopted at that time is discussed under the Commerce and Housing heading.)</p>"
Eliminate requirement that financial institutions allocate interest expense attributable to tax-exempt interest,Community and regional development,2009-2014,"<p>In the 111th Congress, the American Recovery and Reinvestment Act (P.L. 111-5, ARRA) created new rules for banks (and other financial institutions) that invest in tax-exempt bonds. Banks deduct interest expense, the interest they pay to depositors, as a cost of doing business, thereby reducing their tax liability. They have to reduce this interest expense, however, if the bank has invested in tax-exempt bonds. Generally, banks and financial institutions are required to reduce their interest rate expense deduction by the same ratio as tax-exempt bonds have to all assets in their portfolio. The rule is in place to keep banks from benefitting from two tax preferences for the same investment.</p>

<p>Tax-exempt bond investments by individuals and non-financial institutions that comprise less than 2 percent of their investment portfolio, however, are not required to reduce their interest expense deduction. Also, investment by banks in qualified tax-exempt bonds receive more favorable tax treatment. Under this provision, the interest expense deduction is reduced by 20 percent of the interest expense allocable to these bonds. This confers a more favorable treatment on the qualified tax-exempt bonds and is often identified as the two percent rule.</p>
"
"Exclusion of interest on State and local government qualified private activity bonds for sewage, water, and hazardous waste facilities",Community and regional development,2008-2014,"<p>Interest income from state and local bonds used to finance the construction of sewage facilities, facilities for the furnishing of water, and facilities for the disposal of hazardous waste is tax exempt.</p>

<p>Some of these bonds are classified as private-activity bonds rather than as governmental bonds because a substantial portion of their benefits accrues to individuals or business rather than to the general public.</p><p>This tax expenditure corresponds with the Treasury tax expenditure ""Exclusion of interest on bonds for water, sewage, and hazardous waste facilities,"" found in the Natural Resources and Environment Budget Function and available <a href="""">LINK HERE</a>.</p>"
Exclusion of interest on state and local qualified private activity bonds for green buildings and sustainable design projects,Community and regional development,2005-2011,"<p>Interest income on state and local bonds used to finance the construction of green building and sustainable design projects, as designated by the U.S. Environmental Protection Agency (EPA), is tax exempt. Green buildings are evaluated based on these criteria: (1) site sustainability; (2) water efficiency; (3) energy use and atmosphere; (4) material and resource use; (5) indoor environmental quality; and (6) innovative design.</p> <p>This tax expenditure corresponds with the JCT tax expenditure ""Exclusion of interest on State and local qualified private activity bonds for green buildings and sustainable design projects,"" found in the Commerce and Housing Budget Function and available <a href="""">LINK HERE</a>.</p>"
Indian reservation tax incentives,Community and regional development,2000-2007,"<p>Businesses on Indian reservations are eligible for accelerated depreciation and for a credit for 20 percent of the cost of the first $20,000 of wages (and health benefits) paid by the employer to tribal members and their spouses, in excess of eligible qualified wages and  health insurance cost payments made in 1993. These benefits are available for wages paid, and for property placed in service before December 31, 2007.</p>
"
New York City Liberty Zone tax incentives,Community and regional development,2003-2011,<p>The Liberty Zone tax incentives were designed to address the relatively severe economic shock that affected the lower Manhattan region. The tax incentives included increased private-purpose tax-exempt bond capacity for New York (Liberty bonds and special one-time advance refunding) and a special depreciation allowance for certain real property.</p>
Credit for child and dependent care and exclusion of employer-provided child care ,"Education, training, employment, and social services",2006-2014,"<p>A taxpayer may claim a nonrefundable tax credit (Section 21) for employment-related expenses incurred for the care of a dependent child (or a disabled dependent or spouse). The maximum dependent care tax credit is 35 percent (30 percent after December 31, 2012) of up to $3,000 ($2,400 after December 31, 2012) in expenses, if there is one qualifying individual, and up to $6,000 ($4,800 after December 31, 2012) for two or more qualifying individuals.</p>

<p>In addition, payments by an employer, under a dependent care assistance program, for qualified dependent care assistance provided to an employee are excluded from the employees income and, thus, not subject to federal individual income tax (Section 129). The qualified expenditures are not counted as wages, and therefore, are also not subject to employment taxes. The maximum exclusion amount is $5,000, and may not exceed the lesser of the earned income of the employee or the employees spouse if married.</p><p>This tax expenditure corresponds with the Treasury tax expenditure ""Credit for child and dependent care expenses,"" found in the Education, Training, Employment, and Social Services Budget Function and available <a href="""">LINK HERE</a>, and the Exclusion of employer-provided child care, found in the Education, Training, Employment, and Social Services Budget Function and available <a href="""">LINK HERE</a>. </p>
"
Credit for retention of certain newly hired workers,"Education, training, employment, and social services",2010-2014,"<p>The provision allows a business credit for retention of newly hired qualified workers. Employers would be allowed a business tax credit equal to 6.2 percent of the wages (capped at $1,000 per employee) for each qualified worker who remains employed for 52 weeks at the firm. Further, a qualified workers wages during the last 26 weeks (of the 52 week period) must be at least 80-percent of the wages earned in the first 26 week period. The portion of the general business tax credit attributable to this credit may not be carried back to prior tax years.</p>"
Deferral of taxation on spread on acquisition of stock under incentive stock option plans and employee stock purchase plans ,"Education, training, employment, and social services",2002-2014,"<p>Qualified (or statutory) options include incentive stock options, which are limited to $100,000 a year for any one employee, and employee stock purchase plans, which are limited to $25,000 a year for any employee. Employee stock purchase plans must be offered to all full-time employees with at least two years of service; incentive stock options may be confined to officers and highly paid employees. Qualified options are not taxed to the employee when granted or exercised (under the regular tax); tax is imposed only when the stock is sold. If the stock is held one year from purchase and two years from the granting of the option, the gain is taxed as a long-term capital gain. The employer is not allowed a deduction for these options, which requires the employer to pay higher income taxes. However, if the stock is not held the required time, the employee is taxed at ordinary income tax rates and the employer is allowed a deduction. The value of incentive stock options is included in minimum taxable income for the alternative minimum income tax in the year of exercise.</p>"
Disallowance of deduction for excess parachute payments (applicable if payments to a disqualified individual are contingent on a change of control of a corporation and are equal to or greater than three times the individual's annualized includible compensation) *,"Education, training, employment, and social services",2008-2014,"<p>Corporations may enter into agreements with key personnel that are called parachute payments or golden parachutes, under which the corporation agrees to pay these individuals substantial amounts contingent on a change in the ownership or control of the corporation. Any portion of such a payment over a base amount an excess parachute payment  that is made to a disqualified individual is not deductible by the corporation. In addition, an individual receiving the payments must pay an excise tax (in addition to income taxes) equal to 20 percent of the amount of the excess parachute payment. Parachute payments are subject to FICA taxes when paid to recipients.</p>"
Exclusion of benefits provided under cafeteria plans ,"Education, training, employment, and social services",2000-2014,"<p>Cafeteria plans allow employees to choose among cash and certain nontaxable benefits (such as health care) without paying taxes if they select the latter. A general rule of tax accounting is that when taxpayers have the option of receiving both cash and nontaxable benefits they are taxed even if they select the benefits since they are deemed to be in constructive receipt of the cash (that is, since it is within their control to receive it). Section 125 of the Internal Revenue Code provides an express exception to this rule when certain nontaxable benefits are chosen under a cafeteria plan. The tax expenditure measures the loss of revenue from not including the nontaxable benefits in taxable income when employees have this choice. Cafeteria plan benefits are also not subject to employment taxes of either the employer or employee. </p>"
Exclusion of employee awards,"Education, training, employment, and social services",2000-2014,"<p>Generally, prizes and awards to employees that do not qualify as a de minimis fringe benefit under Section 132(e) are taxable to the employee. Section 74(c), however, provides an exclusion for certain awards of tangible personal property given to employees for length of service or for safety achievement.</p>

<p>The amount of the exclusion (under subsection 74(c)) for the employee is the value of the property awarded, and is generally limited by the employers deduction for the award (under Section 274(j))$400, or up to $1,600 for awards granted as part of qualified employee achievement award plans. Qualified employee achievement plans are established or written employer programs which do not discriminate in favor of highly compensated employees. In addition, the average cost per recipient of all awards granted under all established plans for an employer cannot exceed $400.</p>
"
Exclusion of employer-provided tuition reduction benefits,"Education, training, employment, and social services",2006-2014,"<p>Tuition reductions for employees of educational institutions may be excluded from federal income taxes, provided they do not represent payment for services. The exclusion applies as well to tuition reductions for an employees spouse and dependent children. Tuition reductions can occur at schools other than where the employee works, provided they are granted by the school attended, and not paid for by the employing school. Tuition reductions cannot discriminate in favor of highly compensated employees.</p>"
Exclusion of income earned by voluntary employees' beneficiary associations,"Education, training, employment, and social services",2000-2014,"<p>Voluntary Employees Beneficiary Associations (VEBAs) provide life insurance, medical, disability, accident, and other welfare benefits to employee members and their dependents and beneficiaries. Most VEBAs are organized as trusts to be legally separate from employers. Provided certain requirements are met, the income earned by a VEBA is exempt from federal income taxes under Sections 501(a) and 501(c)(9). If the requirements are not met however, the income is subject to the unrelated business income tax (UBIT). With some exceptions, income earned by a VEBA used for prefunding retiree health benefits is subject to this tax.</p>

<p>Employer contributions to VEBAs are deductible within limits, while employee contributions are made with after-tax dollars. When distributed, VEBA benefits are taxable income to recipients unless there is a statutory exclusion explicitly pertaining to those kinds of benefits. Thus, accident and health benefits are excludable under Sections 104 and 105, but severance and vacation pay benefits are taxable.</p>
"
Exclusion of miscellaneous fringe benefits,"Education, training, employment, and social services",2000-2014,"<p>Individuals do not include in income certain miscellaneous fringe benefits provided by employers, including services provided at no additional cost, employee discounts, working condition fringes, de minimis fringes, and certain tuition reductions. Special rules apply with respect to certain parking facilities provided to employees and certain on-premises athletic facilities.</p>

<p>These benefits also may be provided to spouses and dependent children of employees, retired and disabled former employees, and widows and widowers of deceased employees. Certain nondiscrimination requirements apply to benefits provided to highly compensated employees.</p>
"
Exclusion of tax on earnings of qualified tuition programs,"Education, training, employment, and social services",2000-2011,"<p>There are two types of Qualified Tuition Programs (QTPs) that allow persons to pay in advance or save for college expenses for designated beneficiaries: prepaid tuition plans and college savings plans. The former enable account owners to make payments on behalf of beneficiaries for a specified number of academic periods or course units at current prices, thus providing a hedge against tuition inflation. The latter enable payments to be made on behalf of beneficiaries into a variety of investment vehicles offered by plan sponsors (e.g., age-based portfolios whose mix of stocks and bonds changes the closer the beneficiarys matriculation date or an option with a guaranteed rate of return); the balances in college savings accounts can be applied toward a panoply of qualified higher education expenses (e.g., tuition and fees, books, supplies, room and board, and special needs services). For 2009 and 2010, qualified expenses also include those incurred for purchasing computer technology, equipment, and Internet access to be used by the beneficiary (and his or her family) while enrolled in an eligible educational institution.</p>"
Savings account programs,"Education, training, employment, and social services",2008-2014,
Limits on deductible compensation *,"Education, training, employment, and social services",2008-2014,"<p>Publicly held corporations can, generally, deduct employee compensation in the calculation of taxable income. An exception to this rule pertains to executive compensation, for which only $1 million is deductible. This limit is reduced to $500,000 for corporations that take place in the troubled asset relief program (TARP). After 2012, the $500,000 limit will also apply to remuneration to officers, employees, directors, and service providers of covered health insurance providers under health insurance legislation. This threshold is reduced by the amount (if any) of excess golden parachute payments and any excise tax paid with respect to insider stock compensation. Performance-based compensation and specified commissions are not treated as compensation, for the purposes of this provision.</p>"
Special tax provisions for employee stock ownership plans (ESOPs),"Education, training, employment, and social services",2000-2014,"<p>An employee stock ownership plan (ESOP) is a defined-contribution plan that is required to invest primarily in the stock of the sponsoring employer. ESOPs are unique among employee benefit plans in their ability to borrow money to buy stock. An ESOP that has borrowed money to buy stock is a leveraged ESOP. An ESOP that acquires stock through direct employer contributions of cash or stock is a non leveraged ESOP.</p>

<p>ESOPs are provided with various tax advantages. Employer contributions to an ESOP may be deducted by the employer as a business expense. Contributions to a leveraged ESOP are subject to less restrictive limits than contributions to other qualified employee benefit plans.</p> <p>This tax expenditure corresponds with the Treasury tax expenditure ""Special ESOP rules,"" found in the Income Security Budget Function and available <a href="""">LINK HERE</a>.</p>
"
Tax credits for tuition for post-secondary education,"Education, training, employment, and social services",2000-2011,"<p>The Hope Scholarship Credit can be claimed for each eligible student in a family (including the taxpayer, the spouse, or their dependents) for two taxable years for qualified expenses incurred while attending an eligible postsecondary education program, provided the student has not completed the first two years of undergraduate education. An eligible student is one enrolled on at least a half-time basis for at least one academic period during the tax year in a program leading to a degree, certificate, or credential at an institution eligible to participate in U.S. Department of Education student aid programs.</p><p>The Lifetime Learning Credit provides a 20% credit per return for the first $10,000 of qualified tuition and fees that taxpayers pay for themselves, their spouses, or their dependents. The credit is available for those enrolled in one or more courses of undergraduate or graduate instruction at an eligible institution to acquire or improve job skills.</p>  <p>This tax expenditure corresponds with the Treasury tax expenditure ""HOPE tax credit,"" found in the Education, Training, Employment, and Social Services Budget Function and available <a href="""">LINK HERE</a>, and the Lifetime Learning tax credit, found in the Education, Training, Employment, and Social Services Budget Function and available <a href="""">LINK HERE</a>. </p>
"
10-year MACRS for smart electric distribution property,Energy,2008-2014,"<p>Under the Modified Accelerated Cost Recovery System (MACRS), the cost of tangible depreciable property (capital goods) placed in service after 1986 is recovered using (1) the applicable depreciation method, (2) the applicable recovery period, and the applicable convention. The recovery period for certain renewable energy equipment, including solar, wind, geothermal, fuel cell, combined heat and power (CHP), and micro turbine property is 5 years. Renewable energy generation property that is part of a small electric power facility and certain biomass property is also recovered over 5 years. Natural gas gathering lines are treated as 7-year property if the original use commences with the taxpayer after April 11, 2005. A qualified smart meter or qualified smart electric grid system (which are essentially energy monitoring and management devices) is recovered over 10 years. Certain electric transmission property and natural gas distribution lines originally placed in service after April 11, 2005, is MACRS property recovered over 15 years.</p>"
15-year MACRS for certain electric transmission property,Energy,2008-2014,"<p>Under the Modified Accelerated Cost Recovery System (MACRS), the cost of tangible depreciable property (capital goods) placed in service after 1986 is recovered using (1) the applicable depreciation method, (2) the applicable recovery period, and the applicable convention. The recovery period for certain renewable energy equipment, including solar, wind, geothermal, fuel cell, combined heat and power (CHP), and micro turbine property is 5 years. Renewable energy generation property that is part of a small electric power facility and certain biomass property is also recovered over 5 years. Natural gas gathering lines are treated as 7-year property if the original use commences with the taxpayer after April 11, 2005. A qualified smart meter or qualified smart electric grid system (which are essentially energy monitoring and management devices) is recovered over 10 years. Certain electric transmission property and natural gas distribution lines originally placed in service after April 11, 2005, is MACRS property recovered over 15 years.</p>"
Amortization of air pollution control facilities,Energy,2008-2014,"<p>This provision makes the pre-1976 5-year option to amortize investments in pollution control equipment for coal-fired electric generation plants available to those plants placed in service on or after January 1, 1976.</p> <p>Qualifying pollution control equipment means any technology that is installed in or on a qualifying facility to reduce air emissions of any pollutant regulated by the Environmental Protection Agency (EPA) under the Clean Air Act. This includes scrubber systems, particulate collectors and removal equipment (such as electrostatic precipitators), thermal oxidizers, vapor recovery systems, low nitric oxide burners, flare systems, bag houses, cyclones, and continuous emission monitoring systems. The pollution control equipment needs to have been placed in service after April 11, 2005.</p>"
Credit for certain alternative motor vehicles that do not meet existing criteria of a qualified plug-in electric drive motor vehicle,Energy,2009-2014,"<p>Section 30 provides a 10% tax credit for the purchase of qualified lowspeed, two-wheeled, and three-wheeled plug-in electric vehicles. The credit is capped at $2,500. To be eligible for the credit, vehicles must be acquired for use or lease by the taxpayer, and not for resale. Sellers selling qualifying vehicles to tax-exempt entities may claim the credit after fully disclosing the credit amount to the tax-exempt buyer. Additionally, to qualify for the credit, the vehicle must be used predominately within the United States. No credit is available for plug-in electric vehicles claiming a tax credit as a qualified plug-in electric drive vehicle under section 30D. For businesses claiming credits for depreciable property, the credit is treated as being part of the general business credit. The credit is available for vehicles acquired after February 17, 2009, and before January 1, 2012.</p>"
Credit for enhanced oil recovery costs,Energy,2008-2014,"<p>Section 43 provides for a 15% income tax credit for the costs of recovering domestic oil by a qualified enhanced-oil-recovery"" (EOR) methods. Qualifying methods apply fluids  and other chemicals into an oil reservoir gases and use heat to extract oil that is too viscous to be extracted by conventional primary and secondary water-flooding techniques.</p>"
Exceptions for publicly traded partnership with qualified income derived from certain energy-related activities,Energy,2008-2014,"<p>Code Sec. 7704, with a noteworthy exception, generally treats a publicly traded partnership (PTP) as a corporation for federal income tax purposes. For this purpose, a PTP is any partnership that is traded on an established securities market or secondary market.</p> <p>A notable exception to Sec. 7704 occurs if 90 percent of the gross income of a PTP is passive-type income, such as interest, dividends, real property rents, gains from the disposition of real property, and similar income or gains. In these cases, the PTP is exempt from corporate level taxation, thus allowing it to claim pass-through status for tax purposes.</p>
"
Five-year carryback period for certain net operating losses of electric utility companies,Energy,2006-2010,"<p>Certain electric utility companies may elect to extend the Net Operating Loss (NOL) carryback period to five years for a portion of NOLs arising in 2003, 2004 and 2005. The election applies to the 2006-2008 taxable years, and is limited to 20 percent of the taxpayer's transmission and pollution control investments during the prior taxable year. There are various other limitations.</p>"
"Five-year MACRS for certain energy property (solar, wind, etc)",Energy,2008-2014,"<p>Under the Modified Accelerated Cost Recovery System (MACRS), the cost of tangible depreciable property (capital goods) placed in service after 1986 is recovered using (1) the applicable depreciation method, (2) the applicable recovery period, and the applicable convention. The recovery period for certain renewable energy equipment, including solar, wind, geothermal, fuel cell, combined heat and power (CHP), and micro turbine property is 5 years. Renewable energy generation property that is part of a small electric power facility and certain biomass property is also recovered over 5 years. Natural gas gathering lines are treated as 7-year property if the original use commences with the taxpayer after April 11, 2005. A qualified smart meter or qualified smart electric grid system (which are essentially energy monitoring and management devices) is recovered over 10 years. Certain electric transmission property and natural gas distribution lines originally placed in service after April 11, 2005, is MACRS property recovered over 15 years.  </p>"
Provide credit for investment in advanced energy property,Energy,2009-2013,"<p>The American Recovery and Reinvestment Act of 2009 (P.L. 111-5) established a 30% tax credit for qualified investments in advanced energy property. A total of $2.3 billion was allocated for advanced energy property investment tax credits. The tax credits were competitively awarded by the Department of Energy (DOE) and the Department of Treasury. </p>

<p>Advanced energy projects that may qualify for the tax credit include those that re-equip, expand, or establish eligible manufacturing facilities. Facilities that produce the following types of property may qualify: (1) property designed to produce energy using a renewable resource (i.e. solar, wind, geothermal), (2) fuel cells, microturbines, or energy storage systems for use with electric or hybrid-electric vehicles, (3) advanced transmission technologies that support renewable generation (including storage), (4) carbon capture and sequestration property, (5) property designed to refine or blend renewable fuels, (6) energy conservation technologies (i.e. energy saving lighting or smart grid technologies), (7) plug-in electric vehicles and 240 components, (8) other advanced energy property designed to reduce greenhouse gas emissions.</p>"
Seven-year MACRS for natural gas gathering line,Energy,2009-2013,"<p>Under the Modified Accelerated Cost Recovery System (MACRS), the cost of tangible depreciable property (capital goods) placed in service after 1986 is recovered using (1) the applicable depreciation method, (2) the applicable recovery period, and the applicable convention. The recovery period for certain renewable energy equipment, including solar, wind, geothermal, fuel cell, combined heat and power (CHP), and micro turbine property is 5 years. Renewable energy generation property that is part of a small electric power facility and certain biomass property is also recovered over 5 years. Natural gas gathering lines are treated as 7-year property if the original use commences with the taxpayer after April 11, 2005. A qualified smart meter or qualified smart electric grid system (which are essentially energy monitoring and management devices) is recovered over 10 years. Certain electric transmission property and natural gas distribution lines originally placed in service after April 11, 2005, is MACRS property recovered over 15 years.  </p>"
Tax credit and deduction for small refiners with capital costs associated with EPA sulfur regulation compliance,Energy,2006-2011,"<p>Section 45H allows a small refiner to claim a tax credit for the production of low-sulfur diesel fuel that is in compliance with Environmental Protection Agency (EPA) sulfur regulations (the Highway Diesel Fuel Sulfur Control Requirements). The credit is $2.10/barrel of low sulfur diesel fuel produced; it is limited to 25% of the capital costs incurred by the refiner to produce the low sulfur diesel fuel. The 25% limit is phased out proportionately as a refiner's capacity increases from 155,000 to 205,000 barrels per day.</p>"
Tax credit for biodiesel blenders ,Energy,2005-2009,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p><p>This tax expenditure may correspond with <a href=/tax_expenditures/db/group/10/?estimate=3&year=2001"">Bio-Diesel and small agri-biodiesel producer tax credits</a>. Subsidyscope could not determine for certain that they are the same tax expenditure, so the items are presented separately.</p>"
Above-the-line deduction for State or local sales or excise tax imposed on the purchase of a new car,General purpose fiscal assistance,2009-2013,"<p>State and local income, sales, and personal property taxes paid by individuals are deductible from adjusted gross income. There was also a temporary additional standard deduction for state and local sales and excise taxes paid on up to $49,500 of the purchase price of a qualified new car, light truck, motor home or motorcycle. The deduction was available for purchases made between February 16, 2009 and January 1, 2010.</p>"
Therapeutic research credit,"General science, space, and technology",2010-2014,"<p>A non-refundable tax credit is allowed for qualified research expenditures paid or incurred in carrying on the trade or business of a taxpayer. Though often referred to as a single credit, the research credit is the sum of four discrete credits: a regular credit, an alternative simplified incremental credit (ASIC), a credit for basic research, and a credit for energy research. The credit expires at the end of 2011.</p>"
Exclusion of health insurance benefits for military retirees and retiree dependents enrolled in Medicare,Health,2007-2014,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
"Exclusion of medical care and TRICARE medical insurance for military dependents, retirees, and retiree dependents not enrolled in Medicare",Health,2000-2014,"<p>Active-duty military personnel are provided with a variety of benefits (or cash payments in lieu of such benefits) that are not subject to taxation. Among such benefits are medical and dental care. Dependents of active-duty personnel, retired military personnel and their dependents, veterans, survivors of deceased members, and reservists who have served on active duty since September 11, 2001 and join the Selected Reserve are also eligible for these health benefits and thus can take advantage of the tax exclusion.</p>

<p>Military dependents and retirees are allowed to receive some of their medical care in military facilities and from military doctors, provided there is enough spare capacity. These individuals also have the option of being treated by civilian health-care providers working under contract with the Department of Defense (DOD). DOD currently relies on a program known as TriCare to coordinate the medical care supplied by military and civilian providers.</p>

<p>The FY2001 Defense Authorization Act included a provision allowing military retirees and their dependents who are eligible for Medicare Part A and participate in Medicare Part B to retain their TriCare coverage as a secondary payer to Medicare. To qualify for the coverage, an individual must have served at least 20 years in the military. Under the plan, TriCare pays for most of the cost of treatments not covered by Medicare.</p>
"
Premium subsidy for COBRA continuation coverage ,Health,2009-2014,"<p>The premium subsidy for health insurance coverage under COBRA provides a 65% subsidy for COBRA continuation premiums for up to 15 months for workers who have been involuntarily terminated, and for their families. COBRA allows eligible individuals a temporary continuation of their employer provided health insurance when they have lost access to coverage through a change in an individuals work or family status. This subsidy also applies to health care continuation coverage, if required by states for small employers.</p>

<p>To qualify for premium assistance, a worker must be involuntarily terminated between September 1, 2008 and May 31, 2010. The subsidy terminates upon gaining eligibility for any new employer sponsored health care coverage or Medicare eligibility.</p>"
$250 credit against income taxes owed for 2009,Income security,2009-2013,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
Defined benefit plans,Income security,2008-2014,
Defined contribution plans,Income security,2008-2014,
Employer plans,Income security,2000-2011,"Under the baseline tax system, all compensation, including deferred and dedicated payments, should be included in taxable income. In contrast, under current law certain employer contributions to pension plans are excluded from an employee's gross income even though the employer can deduct the contributions. In addition, the tax on the investment income earned by the pension plans is deferred until the money is withdrawn. </p>"
Exclusion of cancellation of indebtedness income of Hurricane Katrina victims,Income security,2006-2010,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
Exclusion of damages on account of personal physical injuries or physical sickness,Income security,2002-2014,"<p>Damages paid, through either a court award or a settlement, to compensate for physical injury and sickness are not included in income of the recipient. This exclusion applies to both lump-sum payments and periodic payments. It does not apply to punitive damages  except in certain cases where states only permit punitive damage awards. Nor does the exclusion apply to compensation for discrimination or emotional distress.</p>"
Exclusion of disaster mitigation payments,Income security,2007-2014,"<p>Payments made for disaster mitigation (that is, payments made to mitigate damages for future hazards) under the Robert T. Stafford Disaster Relief and Emergency Insurance Act or the National Flood Insurance Act are excluded from income. Gain from the sale of property is not eligible, but sale under a disaster mitigation program is treated as an involuntary conversion, with deferral of gain pending replacement. The basis of any property is not increased as a result of improvements due to disaster mitigation payments.</p>"
Exclusion of survivor annuities paid to families of public safety officers killed in the line of duty,Income security,2007-2014,<p>The surviving spouse of a public safety office killed in the line of duty can exclude from gross income a survivor annuity payment under a governmental pension plan. The annuity must be attributable to the officers service as a public safety officer.</p>
