"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2003."""
""
Budget_function,Title as it Appears in Source,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,2007 Total,Notes
"Education, training, employment, and social services",Work opportunity tax credit,40.00,40.00,20.00,10.00,10.00,0.00,0.00,260.00,190.00,120.00,50.00,20.00,10.00,0.00,300.00,230.00,140.00,60.00,30.00,10.00,0.00,
Health,Deductibility of charitable contributions (health),3300.00,3360.00,3500.00,3680.00,3840.00,4020.00,4170.00,710.00,820.00,920.00,1010.00,1010.00,1080.00,1150.00,4010.00,4180.00,4420.00,4690.00,4850.00,5100.00,5320.00,
Health,Deductibility of medical expenses,4990.00,5260.00,5530.00,5840.00,6280.00,6600.00,7100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4990.00,5260.00,5530.00,5840.00,6280.00,6600.00,7100.00,
Health,Exclusion of employer contributions for medical insurance premiums and medical care,82800.00,90910.00,99260.00,106940.00,115380.00,124050.00,134960.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82800.00,90910.00,99260.00,106940.00,115380.00,124050.00,134960.00,
Health,Exclusion of interest on hospital construction bonds,820.00,840.00,900.00,1010.00,1130.00,1250.00,1380.00,280.00,290.00,290.00,300.00,310.00,320.00,320.00,1100.00,1130.00,1190.00,1310.00,1440.00,1570.00,1700.00,
Health,Medical Savings Accounts,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Health,Self-employed medical insurance premiums,1520.00,1730.00,2420.00,3570.00,3870.00,4170.00,4430.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1520.00,1730.00,2420.00,3570.00,3870.00,4170.00,4430.00,
Health,Special Blue Cross/Blue Shield deduction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,270.00,300.00,340.00,310.00,300.00,270.00,300.00,270.00,300.00,340.00,310.00,300.00,270.00,300.00,
Health,Tax credit for orphan drug research,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,150.00,170.00,190.00,220.00,240.00,270.00,140.00,150.00,170.00,190.00,220.00,240.00,270.00,
Health,Workers' compensation insurance premiums,4730.00,4870.00,5080.00,5230.00,5410.00,5570.00,5790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4730.00,4870.00,5080.00,5230.00,5410.00,5570.00,5790.00,
Interest,Deferral of interest on U.S. savings bonds,290.00,300.00,310.00,330.00,330.00,350.00,360.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,300.00,310.00,330.00,330.00,350.00,360.00,
General purpose fiscal assistance,Deductibility of nonbusiness state and local taxes other than on owner-occupied homes,45520.00,46160.00,48150.00,47730.00,43270.00,34820.00,30890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45520.00,46160.00,48150.00,47730.00,43270.00,34820.00,30890.00,
General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,17240.00,17670.00,18110.00,18570.00,19030.00,19510.00,20000.00,5860.00,6010.00,6160.00,6310.00,6470.00,6630.00,6800.00,23100.00,23680.00,24270.00,24880.00,25500.00,26140.00,26800.00,
General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in U.S. possessions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2190.00,2240.00,2240.00,2240.00,2200.00,1300.00,0.00,2190.00,2240.00,2240.00,2240.00,2200.00,1300.00,0.00,
Veterans benefits and services,Exclusion of GI bill benefits,90.00,90.00,90.00,100.00,100.00,110.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,90.00,90.00,100.00,100.00,110.00,110.00,
Veterans benefits and services,Exclusion of interest on veterans housing bonds,30.00,30.00,30.00,30.00,40.00,40.00,50.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,40.00,40.00,40.00,40.00,50.00,50.00,60.00,
Veterans benefits and services,Exclusion of veterans death benefits and disability compensation,3150.00,3190.00,3300.00,3490.00,3680.00,3870.00,4080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3150.00,3190.00,3300.00,3490.00,3680.00,3870.00,4080.00,
Veterans benefits and services,Exclusion of veterans pensions,70.00,80.00,80.00,80.00,90.00,90.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,80.00,80.00,80.00,90.00,90.00,100.00,
Social Security,Social Security benefits for disabled,2690.00,2930.00,3240.00,3630.00,4020.00,4470.00,5020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2690.00,2930.00,3240.00,3630.00,4020.00,4470.00,5020.00,
Social Security,Social Security benefits for retired workers,17830.00,18000.00,18180.00,18560.00,18850.00,19720.00,20890.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17830.00,18000.00,18180.00,18560.00,18850.00,19720.00,20890.00,
Social Security,Social Security benefits for dependents and survivors,3720.00,3870.00,4060.00,4320.00,4560.00,4820.00,5170.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3720.00,3870.00,4060.00,4320.00,4560.00,4820.00,5170.00,
