"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2002."""
""
Budget_function,Title as it Appears in Source,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,Notes
Health,Deductibility of charitable contributions (health),2180.00,2280.00,2390.00,2510.00,2640.00,2770.00,2910.00,730.00,720.00,710.00,760.00,740.00,710.00,830.00,2910.00,3000.00,3100.00,3270.00,3380.00,3480.00,3740.00,
Health,Deductibility of medical expenses,4250.00,4560.00,4870.00,5170.00,5480.00,5790.00,6110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4250.00,4560.00,4870.00,5170.00,5480.00,5790.00,6110.00,
Health,Exclusion of employer contributions for medical insurance premiums and medical care,76530.00,84350.00,92230.00,99800.00,107620.00,115770.00,124690.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76530.00,84350.00,92230.00,99800.00,107620.00,115770.00,124690.00,
Health,Exclusion of interest on hospital construction bonds,810.00,820.00,840.00,900.00,1010.00,1120.00,1250.00,270.00,280.00,290.00,310.00,340.00,370.00,410.00,1080.00,1100.00,1130.00,1210.00,1350.00,1490.00,1660.00,
Health,Medical Savings Accounts,20.00,20.00,30.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,30.00,20.00,20.00,20.00,20.00,
Health,Self-employed medical insurance premiums,1340.00,1510.00,1760.00,2470.00,3580.00,3900.00,4220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1340.00,1510.00,1760.00,2470.00,3580.00,3900.00,4220.00,
Health,Special Blue Cross/Blue Shield deduction,0.00,0.00,0.00,0.00,0.00,0.00,0.00,230.00,250.00,280.00,320.00,290.00,280.00,250.00,230.00,250.00,280.00,320.00,290.00,280.00,250.00,
Health,Tax credit for orphan drug research,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,110.00,130.00,140.00,160.00,180.00,200.00,100.00,110.00,130.00,140.00,160.00,180.00,200.00,
Health,Workers' compensation insurance premiums,4620.00,4850.00,5090.00,5350.00,5620.00,5900.00,6190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4620.00,4850.00,5090.00,5350.00,5620.00,5900.00,6190.00,
Interest,Deferral of interest on U.S. savings bonds,470.00,490.00,520.00,540.00,570.00,600.00,630.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,470.00,490.00,520.00,540.00,570.00,600.00,630.00,
General purpose fiscal assistance,Deductibility of nonbusiness state and local taxes other than on owner-occupied homes,42650.00,45730.00,48730.00,51780.00,55030.00,58390.00,62160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42650.00,45730.00,48730.00,51780.00,55030.00,58390.00,62160.00,
General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,16870.00,17210.00,17550.00,17900.00,18260.00,18630.00,19000.00,5730.00,5840.00,5960.00,6080.00,6200.00,6320.00,6450.00,22600.00,23050.00,23510.00,23980.00,24460.00,24950.00,25450.00,
General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in U.S. possessions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2470.00,2520.00,2560.00,2580.00,2610.00,2630.00,1060.00,2470.00,2520.00,2560.00,2580.00,2610.00,2630.00,1060.00,
Veterans benefits and services,Exclusion of GI bill benefits,80.00,90.00,90.00,100.00,100.00,110.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,90.00,90.00,100.00,100.00,110.00,110.00,
Veterans benefits and services,Exclusion of interest on veterans housing bonds,30.00,30.00,30.00,30.00,30.00,40.00,40.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,40.00,40.00,40.00,40.00,40.00,50.00,50.00,
Veterans benefits and services,Exclusion of veterans death benefits and disability compensation,3090.00,3290.00,3460.00,3640.00,3820.00,4010.00,4210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3090.00,3290.00,3460.00,3640.00,3820.00,4010.00,4210.00,
Veterans benefits and services,Exclusion of veterans pensions,70.00,70.00,80.00,80.00,90.00,90.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,80.00,80.00,90.00,90.00,100.00,
Social Security,Social Security benefits for disabled,2640.00,2880.00,3160.00,3490.00,3910.00,4360.00,4840.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2640.00,2880.00,3160.00,3490.00,3910.00,4360.00,4840.00,
Social Security,Social Security benefits for retired workers,18250.00,19070.00,19930.00,20520.00,21050.00,21840.00,22780.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18250.00,19070.00,19930.00,20520.00,21050.00,21840.00,22780.00,
Social Security,Social Security benefits for dependents and survivors,3910.00,4030.00,4210.00,4440.00,4730.00,5070.00,5380.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3910.00,4030.00,4210.00,4440.00,4730.00,5070.00,5380.00,
